complex_id	associated_monomer_id	var_0_normalized_monomer_count	var_of_interest_normalized_monomer_count
ALKAPHOSPHA-CPLX[p]	ALKAPHOSPHA-MONOMER[p]	4.2417933291181726e-06	1.6372303725258838e-06
SULFITE-REDUCT-CPLX[c]	ALPHACOMP-MONOMER[c]	0.0001766975265599497	8.900989694030584e-05
ALPHAGALACTOSID-CPLX[c]	ALPHAGALACTOSID-MONOMER[c]	8.520143852954681e-06	4.92661492846773e-06
AMINEOXID-CPLX[p]	AMINEOXID-MONOMER[p]	3.071526023554225e-06	5.793147742367276e-07
AMP-NUCLEOSID-CPLX[c]	AMP-NUCLEOSID-MONOMER[c]	0.00030857167932560244	0.00019805815189947475
CPLX0-7532[m]	AMTB-MONOMER[m]	7.588084020122417e-06	1.9655195879311616e-06
ANSA-CPLX[c]	ANSA-MONOMER[c]	9.685349201939921e-05	6.252402723047046e-05
APHA-CPLX[p]	APHA-MONOMER[p]	1.6482634677577166e-05	8.170668336928565e-06
CPLX-722[p]	APPA-MONOMER[p]	7.723081176155216e-06	4.0239834868138635e-06
APP-UBIOX-CPLX[o]	APPB-MONOMER[i]	3.3086217637636013e-06	1.2438859012963612e-06
APP-UBIOX-CPLX[o]	APPC-MONOMER[i]	3.831304103683387e-06	1.2690757910765735e-06
ABC-2-CPLX[m]	ARAF-MONOMER[p]	1.202761540886616e-05	6.6689375229532654e-06
ABC-2-CPLX[m]	ARAG-MONOMER[c]	1.178955101133965e-05	7.030759543812738e-06
ABC-2-CPLX[m]	ARAH-MONOMER[m]	1.0986891004401026e-05	6.35985845622225e-06
PHOSPHO-ARCA[c]	ARCA-MONOMER[c]	0.0005844255547003008	0.0002723545392478738
ARCB-CPLX[i]	ARCB-MONOMER[i]	2.3284741766855598e-07	1.7399457914689613e-07
ARGDECARBOXBIO-CPLX[p]	ARGDECARBOXBIO-MONOMER[p]	0.00013787408969080103	8.499306401633863e-05
ARGDECARBOXDEG-CPLX[c]	ARGDECARBOXDEG-MONOMER[c]	2.5171805838301145e-06	4.3585827809964785e-08
CPLX0-238[c]	ARGSUCCINSYN-MONOMER[c]	0.0009605566777294826	0.000507919235831913
ABC-3-CPLX[i]	ARGT-MONOMER[p]	0.0001683326302446464	8.683145813551143e-05
AROC-CPLX[c]	AROC-MONOMER[c]	7.353369998285032e-05	4.200670725108669e-05
AROF-CPLX[c]	AROF-MONOMER[c]	5.523471865012087e-05	3.540956358412699e-05
AROG-CPLX[c]	AROG-MONOMER[c]	0.00027491161297047074	0.0001569820235022815
CPLX-7[i]	ARSF-MONOMER[i]	3.2229864826372786e-06	1.12479726583078e-06
CPLX0-8120[i]	ARTI-MONOMER[p]	4.6050479581925585e-05	2.217584817411437e-05
ABC-4-CPLX[i]	ARTJ-MONOMER[p]	0.0006108135874095434	0.00030292534661556373
CPLX0-8120[i]	ARTM-MONOMER[i]	2.0905315116813557e-05	1.118433055036141e-05
CPLX0-8120[i]	ARTP-MONOMER[i]	5.0445958344600585e-05	2.6073242262347017e-05
CPLX0-8120[i]	ARTQ-MONOMER[i]	2.0129111433804448e-05	1.0138230184189724e-05
CPLX-153[i]	ASCF-MONOMER[i]	5.9168537543747035e-06	4.45018631322941e-06
CPLX0-7959[c]	ASL-MONOMER[c]	0.0003535043002079979	0.00022719212115643675
ASNS-CPLX[c]	ASNS-MONOMER[c]	0.0007335759821123786	0.0004378098184427992
ASNSYNA-CPLX[c]	ASNSYNA-MONOMER[c]	0.000580491621649152	0.00030663448628937055
ASNSYNB-CPLX[c]	ASNSYNB-MONOMER[c]	0.00011126100950460124	6.155071296235622e-05
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX[c]	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]	0.002277768412578037	0.0013264258248451759
ASPAMINOTRANS-DIMER[c]	ASPAMINOTRANS-MONOMER[c]	0.001743862063409117	0.001042963840387181
ASPARTASE-CPLX[c]	ASPARTASE-MONOMER[c]	3.096766502250621e-05	1.5130131095183782e-05
ASPCARBTRANS-CPLX[c]	ASPCARBCAT-MONOMER[c]	0.0018789688908050078	0.0008869677319072361
ASPCARBREG-DIMER[c]	ASPCARBREG-MONOMER[c]	0.0013416179481926136	0.0006429659125703856
ASPKINIIHOMOSERDEHYDROGII-CPLX[c]	ASPKINIIHOMOSERDEHYDROGII-MONOMER[c]	2.6314828972206935e-05	1.4816033285615287e-05
ASPKINIII-CPLX[c]	ASPKINIII-MONOMER[c]	0.0002841299620707009	0.0001551421089175632
ASPS-CPLX[c]	ASPS-MONOMER[c]	0.0002115810269890642	0.00012887359947838005
ATOA-CPLX[c]	ATOA-MONOMER[c]	1.90770096513238e-05	8.486053973380503e-06
ATOD-CPLX[c]	ATOD-MONOMER[c]	1.883705724188575e-05	8.809332890278854e-06
CPLX0-7870[i]	ATOS-MONOMER[i]	9.546150856521463e-06	4.854038702116508e-06
F-1-CPLX[i]	ATPA-MONOMER[m]	0.0007539362502526613	0.0004050043884952232
F-O-CPLX[i]	ATPB-MONOMER[i]	0.0004587443137820217	0.0002225618259015962
ATPD-CPLX[m]	ATPD-MONOMER[m]	0.000831579855585017	0.0004710516611715201
F-1-CPLX[i]	ATPG-MONOMER[m]	0.00031132577923797324	0.0001636017879111202
F-1-CPLX[i]	ATPH-MONOMER[m]	0.00022382909177618484	0.00011515077733508543
BADH-CPLX[c]	BADH-MONOMER[c]	3.6172413289625625e-05	1.761049121361478e-05
PHOSPHO-BAER[c]	BAER-MONOMER[c]	1.4397585789148067e-05	7.937492917314684e-06
BAES-INDOLE-CPLX[i]	BAES-MONOMER[i]	1.1027091240860524e-05	5.891550542248114e-06
CPLX0-8302[i]	BARA-MONOMER[i]	6.694867141147471e-06	4.121613154171457e-06
PHOSPHO-BASR[c]	BASR-MONOMER[c]	1.5073763542785092e-05	6.3802264788649325e-06
BASS-FE+3-CPLX[i]	BASS-MONOMER[i]	7.96735773968667e-06	3.420437804917834e-06
SULFITE-REDUCT-CPLX[c]	BETACOMP-MONOMER[c]	0.00012075958165751768	5.773436082562047e-05
BETAGALACTOSID-CPLX[c]	BETAGALACTOSID-MONOMER[c]	2.0875453957260258e-06	2.856298193154023e-07
CPLX-154[i]	BGLF-MONOMER[i]	6.971812177606338e-07	2.340739739509561e-07
BIOTIN-CARBOXYL-CPLX[c]	BIOTIN-CARBOXYL-MONOMER[c]	0.0004050762147307894	0.00023550006626582598
BIOTIN-SYN-CPLX[c]	BIOTIN-SYN-MONOMER[c]	0.00011917905617770979	6.365061268835458e-05
ABC-5-CPLX[m]	BTUC-MONOMER[m]	4.105475629031516e-06	2.7564326195509075e-06
ABC-5-CPLX[m]	BTUD-MONOMER[m]	1.4747629654753243e-05	8.939381024528132e-06
CPLX0-7906[i]	CAIT-MONOMER[i]	2.459009922658923e-06	7.985307527877685e-07
ACETYL-COA-CARBOXYLTRANSFER-CPLX[c]	CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c]	0.00025971286998586834	0.0001598776906360658
ACETYL-COA-CARBOXYLTRANSFER-CPLX[c]	CARBOXYL-TRANSFERASE-BETA-MONOMER[c]	0.000375876158818093	0.00021524905168106122
CARBPSYN-CPLX[c]	CARBPSYN-LARGE[c]	0.0004903926919757233	0.00025543365173189003
CARBPSYN-CPLX[c]	CARBPSYN-SMALL[c]	0.00044750594157094307	0.00023524603289800622
CARNDEHYDRA-CPLX[c]	CARNDEHYDRA-MONOMER[c]	2.489962481312167e-06	1.0572833188665847e-06
CPLX-9495[i]	CCMB-MONOMER[i]	5.505385236427681e-06	4.07165701782605e-06
CPLX-155[i]	CELA-MONOMER[c]	7.617456951198439e-06	6.035137072688742e-06
CFA-CPLX[c]	CFA-MONOMER[c]	0.0001822999220955191	0.00012707056721923953
ORNCARBAMTRANSFERF-CPLX[c]	CHAINF-MONOMER[c]	0.00017639765565820924	9.215373918937472e-05
ORNCARBAMTRANSFERI-CPLX[c]	CHAINI-MONOMER[c]	8.36299973624906e-05	4.289526231249534e-05
CHEZ-CPLX[c]	CHEZ-MONOMER[c]	0.00035670277501020713	0.00024719987929478854
CHORISMUTPREPHENDEHYDRAT-CPLX[c]	CHORISMUTPREPHENDEHYDRAT-MONOMER[c]	0.0004962242424523939	0.00026516137474533126
CHORISMUTPREPHENDEHYDROG-CPLX[c]	CHORISMUTPREPHENDEHYDROG-MONOMER[c]	6.48126733101811e-05	4.377229840355458e-05
CITRATE-SI-SYNTHASE[c]	CITSYN-MONOMER[c]	0.0018209373453652205	0.001088220501639198
CPLX-156[i]	CMTA-MONOMER[i]	6.906442324794795e-07	1e-10
CPLX-156[i]	CMTB-MONOMER[c]	7.464754231555263e-07	1e-10
COBU-CPLX[c]	COBU-MONOMER[c]	5.477369584130292e-06	2.938616834891741e-06
CPLX0-8270[i]	CPXA-MONOMER[i]	2.7409955735672706e-05	1.524869992327791e-05
CREC-CPLX[i]	CREC-MONOMER[i]	5.601987996070719e-06	3.1102677941510607e-06
CPLX0-7[i]	CRR-MONOMER[c]	0.002495016575036765	0.0013569585067537428
CTPSYN-CPLX[c]	CTPSYN-MONOMER[c]	0.0002766574851075344	0.0001260965765469531
CYANLY-CPLX[c]	CYANLY-MONOMER[c]	3.6394819646173895e-06	2.840159374398751e-06
CYT-D-UBIOX-CPLX[i]	CYDA-MONOMER[m]	2.821490686360167e-06	8.208500039038866e-07
CYT-D-UBIOX-CPLX[i]	CYDB-MONOMER[m]	2.616650647896929e-06	7.812256988375052e-07
ABC-6-CPLX[i]	CYDC-MONOMER[i]	2.4590965437509356e-05	1.5238009423668879e-05
ABC-6-CPLX[i]	CYDD-MONOMER[i]	3.262892838028675e-05	1.8831068992432183e-05
CYT-O-UBIOX-CPLX[i]	CYOA-MONOMER[i]	0.0003655516731473067	0.00018242747369177277
CYT-O-UBIOX-CPLX[i]	CYOB-MONOMER[i]	0.0003242190449692328	0.00016789171231503365
CYT-O-UBIOX-CPLX[i]	CYOC-MONOMER[i]	0.0003300244689602286	0.00017692304678387433
CYT-O-UBIOX-CPLX[i]	CYOD-MONOMER[i]	0.00033437271464776115	0.00018123536840579247
ABC-7-CPLX[i]	CYSA-MONOMER[i]	0.00011596357770015619	7.049955325498113e-05
SULFATE-ADENYLYLTRANS-CPLX[c]	CYSD-MONOMER[c]	0.00019873005159591216	0.00011098756712306467
SULFATE-ADENYLYLTRANS-CPLX[c]	CYSN-MONOMER[c]	0.0001785365568502129	0.0001067057965658781
ABC-7-CPLX[i]	CYSP-MONOMER[p]	0.00012321970386241788	6.1636659292979e-05
ABC-70-CPLX[i]	CYST-MONOMER[i]	0.00012806122504011152	7.012576655693815e-05
CYSTATHIONINE-BETA-LYASE-CPLX[c]	CYSTATHIONINE-BETA-LYASE-MONOMER[c]	9.109796456704876e-05	3.716078010436712e-05
ABC-70-CPLX[i]	CYSW-MONOMER[i]	0.00012124778484976446	6.847328300223133e-05
CPLX0-7932[c]	CYTDEAM-MONOMER[c]	0.0002112390921796509	0.00011854400649732688
NRFMULTI-CPLX[p]	CYTOCHROMEC-MONOMER[p]	3.213794875231385e-06	4.808651110615934e-07
NRFMULTI-CPLX[p]	CYTOCHROMEC552-MONOMER[p]	3.098310067493644e-06	3.855680823033111e-07
DALADALALIGB-CPLX[c]	DALADALALIGB-MONOMER[c]	2.3409923025621273e-05	1.732808154141668e-05
DALADEHYDROG-CPLX[i]	DALADEHYDROGA-MONOMER[i]	2.468474149497086e-05	1.6478666082216046e-05
DAPASYN-CPLX[c]	DAPASYN-MONOMER[c]	8.785704095983966e-05	4.9115486144578505e-05
DCTP-DEAM-CPLX[c]	DCTP-DEAM-MONOMER[c]	3.698396617791475e-05	2.1469683319106133e-05
PHOSPHO-DCUR[c]	DCUR-MONOMER[c]	1.9784758670820874e-05	6.814180940551906e-06
DCUS-SUC-CPLX[c]	DCUS-MONOMER[c]	3.144846211399446e-06	1.1542287881650506e-06
DCYSDESULF-CPLX[c]	DCYSDESULF-MONOMER[c]	0.00011414030887227264	7.19787393617911e-05
DEOA-CPLX[c]	DEOA-MONOMER[c]	4.965015722046387e-06	3.126162869051626e-06
DETHIOBIOTIN-SYN-CPLX[c]	DETHIOBIOTIN-SYN-MONOMER[c]	8.698485902853818e-05	5.004098783256182e-05
DGTPTRIPHYDRO-CPLX[c]	DGTPTRIPHYDRO-MONOMER[c]	1.168652340473087e-05	7.663022662743343e-06
CPLX0-8301[c]	DHHB-METHYLTRANSFER-MONOMER[c]	0.0002750016169653035	0.00015411742984666334
DIACYLGLYKIN-CPLX[i]	DIACYLGLYKIN-MONOMER[i]	8.031856382645528e-05	4.707174837879385e-05
DIAMINOPIMDECARB-CPLX[c]	DIAMINOPIMDECARB-MONOMER[c]	7.502462661083214e-05	4.586858740985977e-05
CPLX0-7997[c]	DIAMINOPIMEPIM-MONOMER[c]	3.083090069584307e-05	1.6593088142168967e-05
DIHYDRODIPICSYN-CPLX[c]	DIHYDRODIPICSYN-MONOMER[c]	0.0003101242994719937	0.0001695938108791479
DIHYDROOROT-CPLX[c]	DIHYDROOROT-MONOMER[c]	0.0006943635966008411	0.00041757157431047975
DIHYDROPICRED-CPLX[c]	DIHYDROPICRED-MONOMER[c]	0.0002481564970293821	0.00016207398807778871
DIHYDROPTERIREDUCT-CPLX[c]	DIHYDROPTERIREDUCT-MONOMER[c]	0.00047005868777761864	0.0003028607539912592
DIOHBUTANONEPSYN-CPLX[c]	DIOHBUTANONEPSYN-MONOMER[c]	0.00016068725668717568	8.813371463153546e-05
DMBPPRIBOSYLTRANS-CPLX[c]	DMBPPRIBOSYLTRANS-MONOMER[c]	8.838125360187157e-06	4.23517623114574e-06
DIMESULFREDUCT-CPLX[i]	DMSA-MONOMER[i]	2.9782835936504667e-06	1.9064616157484964e-06
DIMESULFREDUCT-CPLX[i]	DMSB-MONOMER[i]	2.8422027412514284e-06	1.978295816029827e-06
DIMESULFREDUCT-CPLX[i]	DMSC-MONOMER[i]	5.762464122058964e-06	4.111415822336809e-06
ABC-8-CPLX[i]	DPPA-MONOMER[p]	0.0005456640567256701	0.0002469629099362382
ABC-8-CPLX[i]	DPPB-MONOMER[i]	0.000177442637505437	9.143703393141071e-05
ABC-8-CPLX[i]	DPPC-MONOMER[i]	0.00018898984691170293	9.716660135903348e-05
ABC-8-CPLX[i]	DPPD-MONOMER[i]	0.00021497832985125373	0.00010673951973687795
DSBC-CPLX[p]	DSBC-MONOMER[p]	0.00018197173681733768	9.712866708744555e-05
DSBG-CPLX[p]	DSBG-MONOMER[p]	9.719006749724852e-05	5.162988650739974e-05
DTDPGLUCDEHYDRAT-CPLX[c]	DTDPGLUCDEHYDRAT-MONOMER[c]	0.0001137218992864984	6.831138558642384e-05
CPLX0-8034[c]	DTDPGLUCOSEPP-MONOMER[c]	8.853763953447736e-05	6.0608364298837136e-05
CPLX0-8012[c]	DTDPGLUCOSEPP2-MONOMER[c]	1.1171827171035773e-05	4.918791169721591e-06
CPLX0-8260[c]	DTMPKI-MONOMER[c]	0.00023351964181842971	0.00015084227698517844
DUTP-PYROP-CPLX[c]	DUTP-PYROP-MONOMER[c]	0.00020287453990707832	0.00010432692177583623
DXPREDISOM-CPLX[i]	DXPREDISOM-MONOMER[i]	1.8111845333352156e-05	9.846714127051827e-06
CPLX0-743[c]	DXS-MONOMER[c]	7.461043581176354e-05	4.4819234997185386e-05
2OXOGLUTARATEDEH-CPLX[c]	E1O-MONOMER[c]	0.0003100675893922737	0.00020360740252049273
PYRUVATEDEH-CPLX[c]	E1P-MONOMER[c]	0.0006747402444366715	0.00038081327560605493
2OXOGLUTARATEDEH-CPLX[c]	E2O-MONOMER[c]	0.0006985594276880684	0.00047372792898685637
PYRUVATEDEH-CPLX[c]	E2P-MONOMER[c]	0.0006761205082750229	0.0003918234783990119
2OXOGLUTARATEDEH-CPLX[c]	E3-MONOMER[c]	0.0015763202269423512	0.0008916995156068769
CPLX0-341[c]	EG10004-MONOMER[c]	5.394589621162531e-05	2.6768995362138654e-05
CPLX0-8245[i]	EG10018-MONOMER[i]	5.20227773874222e-06	3.3258743544679782e-06
CPLX0-1421[c]	EG10113-MONOMER[c]	0.00017533945867775205	7.196075595405328e-05
CPLX0-2861[c]	EG10116-MONOMER[c]	9.14505526342767e-07	2.239058820582679e-07
CPLX0-7942[c]	EG10125-MONOMER[c]	0.00023632489772660607	0.00012917703668301374
CPLX0-1924[i]	EG10126-MONOMER[m]	5.8372890156377594e-05	2.1170717767045546e-05
CPLX0-8045[c]	EG10153-MONOMER[c]	5.072102891959845e-05	2.6569848516098244e-05
CPLX0-8164[c]	EG10154-MONOMER[c]	1.323028535889889e-05	7.239375991081853e-06
CPLX0-8553[o]	EG10155-MONOMER[o]	0.0012376087516935727	0.0007144608506140182
CPLX0-881[c]	EG10156-MONOMER[c]	0.00022556638597743848	0.00012240581000382228
CPLX0-3104[c]	EG10158-MONOMER[c]	0.00023593109421228512	9.773184955019358e-05
CPLX0-3108[c]	EG10159-MONOMER[c]	0.00016807686804511037	7.440279842514418e-05
CPLX0-8252[p]	EG10201-MONOMER[p]	0.00018172996019568806	8.622732896995887e-05
CPLX0-8545[p]	EG10202-MONOMER[p]	1.8898009168121446e-05	1.095577492149532e-05
CPLX0-8254[p]	EG10203-MONOMER[p]	6.318406493374459e-05	3.4272381184727195e-05
CPLX0-8557[c]	EG10215-MONOMER[c]	0.00014701080945314906	9.130583636752359e-05
CPLX0-3621[c]	EG10236-MONOMER[c]	0.00021595457576149293	0.00012012097040395097
CPLX0-3803[c]	EG10238-MONOMER[c]	7.61736656310845e-05	5.122317778474751e-05
CPLX0-8191[c]	EG10240-MONOMER[c]	8.663419355174249e-05	5.1800731111001396e-05
CPLX0-10342[c]	EG10242-MONOMER[c]	3.205190456178841e-05	1.8641932996758302e-05
CPLX0-3803[c]	EG10243-MONOMER[c]	6.699287391081571e-05	3.432265701625107e-05
CPLX0-0[c]	EG10244-MONOMER[c]	5.203081087483849e-05	1.7814596375566565e-05
CPLX0-1441[p]	EG10255-MONOMER[p]	5.517682350034138e-05	3.1173914911141085e-05
CPLX0-2141[m]	EG10266-MONOMER[m]	9.960003092278015e-08	1e-10
CPLX0-8541[o]	EG10271-MONOMER[i]	0.0005960770502335669	0.0002498660453920712
CPLX0-8541[o]	EG10272-MONOMER[i]	0.0002913229794478656	0.00013162770080559375
CPLX0-7724[c]	EG10284-MONOMER[c]	2.4370598841992364e-05	1.2776242182926582e-05
CPLX0-1943[o]	EG10286-MONOMER[o]	2.0258396214913666e-05	7.006659301469704e-06
SRP-CPLX[c]	EG10300-MONOMER[c]	0.00010724493208383174	6.678135903444589e-05
CPLX0-1942[o]	EG10302-MONOMER[o]	0.00022550043323831724	0.00013191172059591003
CPLX0-7952[o]	EG10306-MONOMER[o]	0.00016747598743648486	8.63168509392063e-05
CPLX0-8227[c]	EG10307-MONOMER[c]	1.8177200685362895e-05	9.176459551818406e-06
CPLX0-3401[l]	EG10308-MONOMER[e]	0.005585674485913168	0.002526393481047922
CPLX0-3401[l]	EG10313-MONOMER[l]	2.7028491418271143e-05	1.1974053221285005e-05
CPLX0-3401[l]	EG10314-MONOMER[l]	2.5451334005149257e-05	7.288861049003769e-06
CPLX0-3401[l]	EG10315-MONOMER[l]	3.5777866305769525e-05	1.6443403615685516e-05
CPLX0-3930[c]	EG10320-MONOMER[c]	0.00034548468269956747	0.00019859969426586036
CPLX0-7452[j]	EG10321-MONOMER[e]	0.0010492274838483514	0.00031926847909629724
CPLX0-7452[j]	EG10322-MONOMER[j]	0.000169404264678455	9.45322189099749e-05
CPLX0-7934[i]	EG10342-MONOMER[i]	6.516629403890856e-06	4.016489807471201e-06
CPLX0-7597[c]	EG10375-MONOMER[c]	2.6525974951069337e-05	1.4998956278238874e-05
CPLX0-242[c]	EG10395-MONOMER[c]	7.32214347104118e-05	4.708963497764981e-05
CPLX0-8192[c]	EG10416-MONOMER[c]	0.0016243034679884272	0.0008896024230811342
CPLX0-2425[c]	EG10423-MONOMER[c]	0.0001670585880699802	8.071433041610419e-05
CPLX0-2425[c]	EG10424-MONOMER[c]	3.542038736437014e-05	2.0643663764739792e-05
CPLX0-1321[m]	EG10435-MONOMER[m]	0.00020022226505764845	0.00012162578627625549
CPLX0-1321[m]	EG10436-MONOMER[c]	0.0002198184124959782	0.0001291436779891627
CPLX0-1461[c]	EG10438-MONOMER[c]	0.0008361496868912207	0.0004702524352335502
CPLX0-7425[c]	EG10442-MONOMER[c]	1.7501703505829808e-05	1.2384584488097004e-05
CPLX0-7425[c]	EG10443-MONOMER[c]	1.261442439451065e-05	9.77765180293463e-06
CPLX0-7728[c]	EG10454-MONOMER[c]	2.6519335476957535e-05	1.718795758105813e-05
CPLX0-7711[c]	EG10455-MONOMER[c]	0.001922199300247579	0.0010669933976650847
CPLX0-3958[c]	EG10458-MONOMER[c]	4.3385090043837735e-05	2.7266408620561608e-05
CPLX0-3958[c]	EG10459-MONOMER[c]	2.5380701302238996e-05	1.7456137511273778e-05
CPLX0-3958[c]	EG10460-MONOMER[c]	2.5627596735248384e-05	1.9256512249384478e-05
CPLX0-2641[c]	EG10461-MONOMER[c]	0.0002624379885614321	0.00015387224817293863
CPLX0-2921[i]	EG10463-MONOMER[i]	0.00022343572127852594	0.0001376446895148156
CPLX0-8256[c]	EG10466-MONOMER[c]	0.01335700581313964	0.0069422165103431134
CPLX0-2021[c]	EG10467-MONOMER[c]	0.005741946685409968	0.003186909595687612
CPLX0-7669[c]	EG10490-MONOMER[c]	2.5070329851591213e-05	1.3885527796413408e-05
ATPASE-1-CPLX[i]	EG10513-MONOMER[i]	1.928273809296994e-06	3.2604886402163875e-08
ATPASE-1-CPLX[i]	EG10515-MONOMER[i]	1.6507284177072583e-06	2.4094981411070306e-08
CPLX0-7655[o]	EG10528-MONOMER[o]	3.0413197777967135e-05	1.568694345015423e-05
CPLX0-2881[c]	EG10542-MONOMER[c]	0.00013171395552238446	8.064875860970108e-05
CPLX0-8092[c]	EG10564-MONOMER[c]	1.692102644906308e-05	1.2556209458202866e-05
CPLX0-1242[c]	EG10571-MONOMER[c]	8.26903893457061e-05	4.7484229581197526e-05
CPLX0-7692[c]	EG10572-MONOMER[c]	3.658344098322826e-05	2.5291525931835106e-05
CPLX0-3201[p]	EG10580-MONOMER[p]	6.591405189747805e-05	3.7174063134967774e-05
CPLX0-8196[c]	EG10596-MONOMER[c]	8.501327545563544e-05	5.238870465824564e-05
CPLX0-8188[c]	EG10597-MONOMER[c]	0.00026564986202711166	0.00016409124486897346
CPLX0-3934[c]	EG10599-MONOMER[c]	0.0011048537987606265	0.0005556380631652575
CPLX0-3934[c]	EG10600-MONOMER[c]	0.001186054692751445	0.0006067187533258031
CPLX0-7418[c]	EG10603-MONOMER[c]	0.00058239240630957	0.00029305305446153103
CPLX0-8612[i]	EG10609-MONOMER[i]	1.5145956529949894e-05	7.271123257350232e-06
