Protein IDs,Protein names,Gene names,Fasta headers,Proteins,copy number per cell sample  1,copy number per cell sample  2,copy number per cell sample  3,Average copy number
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,aceF,>sp|P06959|ODP2_ECOLI Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,1,4487.196507,3596.707702,3903.613048,3995.839086
P0A6A3,Acetate kinase,ackA,>sp|P0A6A3|ACKA_ECOLI Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1,1,2869.724195,2185.598399,2642.905526,2566.07604
P25516,Aconitate hydratase 1,acnA,>sp|P25516|ACON1_ECOLI Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,1,111.8093435,161.6939584,191.0806462,154.861316
P36683,Aconitate hydratase 2,acnB,>sp|P36683|ACON2_ECOLI Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,1,4101.680188,3276.607614,3829.1353,3735.807701
P21515,Acyl carrier protein phosphodiesterase,acpH,>sp|P21515|ACPH_ECOLI Acyl carrier protein phosphodiesterase OS=Escherichia coli (strain K12) GN=acpH PE=3 SV=2,1,32.72110567,16.68841347,16.3232003,21.91090648
P0A6A8,Acyl carrier protein,acpP,>sp|P0A6A8|ACP_ECOLI Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2,1,12840.41541,9493.907135,9043.75473,10459.35909
P24224,Holo-[acyl-carrier-protein] synthase,acpS,>sp|P24224|ACPS_ECOLI Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3,1,98.49192384,95.84097977,116.6032735,103.6453924
P0AE06,Acriflavine resistance protein A,acrA,>sp|P0AE06|ACRA_ECOLI Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1,1,965.7503504,744.6965662,834.1833827,848.2100998
P31224,Acriflavine resistance protein B,acrB,>sp|P31224|ACRB_ECOLI Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1,1,98.75740652,80.94739294,101.1711353,93.62531159
P0ACS9,HTH-type transcriptional regulator AcrR,acrR,>sp|P0ACS9|ACRR_ECOLI HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1,1,6.569070564,5.517588866,6.394075987,6.160245139
P27550,Acetyl-coenzyme A synthetase,acs,>sp|P27550|ACSA_ECOLI Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2,1,51.37055742,29.00913242,31.27608347,37.2185911
P22333,Adenosine deaminase,add,>sp|P22333|ADD_ECOLI Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2,1,325.9772549,199.9060123,218.1954353,248.0262342
P31441,Adenine deaminase,ade,>sp|P31441|ADEC_ECOLI Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2,1,20.46607423,20.98663713,18.27143745,19.90804961
P0A9Q7,Aldehyde-alcohol dehydrogenase;Alcohol dehydrogenase;Acetaldehyde dehydrogenase [acetylating];Pyruvate-formate-lyase deactivase,adhE,>sp|P0A9Q7|ADHE_ECOLI Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,1,1467.120424,980.5288869,1343.648544,1263.765952
P28629,Biodegradative arginine decarboxylase,adiA,>sp|P28629|ADIA_ECOLI Biodegradative arginine decarboxylase OS=Escherichia coli (strain K12) GN=adiA PE=1 SV=1,1,0,0.194701071,0,0.064900357
P69441;Q1PI83,Adenylate kinase,adk,>sp|P69441|KAD_ECOLI Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1;>tr|Q1PI83|Q1PI83_ECOLI Adenylate kinase (Fragment) OS=Escherichia coli (strain K12) GN=adk PE=3 SV=1,2,2680.810648,2475.891696,2669.161587,2608.62131
P37127,Protein AegA,aegA,>sp|P37127|AEGA_ECOLI Protein AegA OS=Escherichia coli (strain K12) GN=aegA PE=3 SV=2,1,11.85013821,6.242568148,6.976081103,8.356262486
P50466,Aerotaxis receptor,aer,>sp|P50466|AER_ECOLI Aerotaxis receptor OS=Escherichia coli (strain K12) GN=aer PE=1 SV=1,1,14.53696864,21.68768629,28.71851368,21.64772287
P23872,Acetyl esterase,aes,>sp|P23872|AES_ECOLI Acetyl esterase OS=Escherichia coli (strain K12) GN=aes PE=1 SV=3,1,6.928246154,1.596470527,8.241544097,5.588753592
P42906,Putative N-acetylgalactosamine-6-phosphate deacetylase,agaA,>sp|P42906|AGAA_ECOLI Putative N-acetylgalactosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=agaA PE=5 SV=3,1,0,0,1.843021506,0.614340502
P42909,N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 1,agaB,>sp|P42909|PTPB1_ECOLI N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 1 OS=Escherichia coli (strain K12) GN=agaB PE=4 SV=1,1,41.91525836,33.13398988,25.7029623,33.58407018
P0ACK2,Putative aga operon transcriptional repressor,agaR,>sp|P0ACK2|AGAR_ECOLI Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1,1,30.20705471,37.38928612,55.51545972,41.03726685
P42907,Putative tagatose-6-phosphate ketose/aldose isomerase,agaS,>sp|P42907|AGAS_ECOLI Putative tagatose-6-phosphate ketose/aldose isomerase OS=Escherichia coli (strain K12) GN=agaS PE=1 SV=1,1,26.15113095,12.14165805,9.883801729,16.05886357
P42904,N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2,agaV,>sp|P42904|PTPB2_ECOLI N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2 OS=Escherichia coli (strain K12) GN=agaV PE=4 SV=1,1,144.8172671,166.1210738,158.6425685,156.5269698
P19926,Glucose-1-phosphatase,agp,>sp|P19926|AGP_ECOLI Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1,1,233.5904077,236.7759442,219.5656833,229.9773451
P0AE08,Alkyl hydroperoxide reductase subunit C,ahpC,>sp|P0AE08|AHPC_ECOLI Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2,1,7337.071336,6344.971341,7456.557133,7046.199937
P35340,Alkyl hydroperoxide reductase subunit F,ahpF,>sp|P35340|AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,1,985.0017815,736.3043747,934.2956953,885.2006172
P33224,Putative acyl-CoA dehydrogenase AidB,aidB,>sp|P33224|AIDB_ECOLI Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3,1,4.259805765,2.868538133,2.777575885,3.301973261
P00957,Alanine--tRNA ligase,alaS,>sp|P00957|SYA_ECOLI Alanine--tRNA ligase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,1,775.0367931,603.310464,731.0511351,703.1327974
P25553,Lactaldehyde dehydrogenase,aldA,>sp|P25553|ALDA_ECOLI Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,1,80.90746305,45.17922075,53.42844701,59.83837694
P04395,DNA-3-methyladenine glycosylase 2,alkA,>sp|P04395|3MG2_ECOLI DNA-3-methyladenine glycosylase 2 OS=Escherichia coli (strain K12) GN=alkA PE=1 SV=1,1,37.3199615,5.723831713,3.577134034,15.54030908
P05050,Alpha-ketoglutarate-dependent dioxygenase AlkB,alkB,>sp|P05050|ALKB_ECOLI Alpha-ketoglutarate-dependent dioxygenase AlkB OS=Escherichia coli (strain K12) GN=alkB PE=1 SV=1,1,6.578691809,8.694475104,6.613418865,7.295528592
P77731,Ureidoglycolate hydrolase,allA,>sp|P77731|ALLA_ECOLI Ureidoglycolate hydrolase OS=Escherichia coli (strain K12) GN=allA PE=1 SV=1,1,28.84841674,15.67253098,26.7591437,23.76003047
P77425,Allantoate amidohydrolase,allC,>sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1,1,11.56959192,2.616049445,5.128618153,6.438086506
P77555,Ureidoglycolate dehydrogenase,allD,>sp|P77555|ALLD_ECOLI Ureidoglycolate dehydrogenase OS=Escherichia coli (strain K12) GN=allD PE=1 SV=1,1,8.151391515,9.349216528,8.839016997,8.779875013
P0ACN4,HTH-type transcriptional repressor AllR,allR,>sp|P0ACN4|ALLR_ECOLI HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1,1,27.2747733,24.6741168,53.13397761,35.02762257
P0ACR0,HTH-type transcriptional activator AllS,allS,>sp|P0ACR0|ALLS_ECOLI HTH-type transcriptional activator AllS OS=Escherichia coli (strain K12) GN=allS PE=1 SV=1,1,0,1.572668836,2.790783246,1.454484027
P0A6B4,"Alanine racemase, biosynthetic",alr,">sp|P0A6B4|ALR1_ECOLI Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1",1,12.68718835,15.51473074,11.66251208,13.28814372
P32721,D-allose import ATP-binding protein AlsA,alsA,>sp|P32721|ALSA_ECOLI D-allose import ATP-binding protein AlsA OS=Escherichia coli (strain K12) GN=alsA PE=3 SV=2,1,94.30873372,65.47250486,93.02345382,84.2682308
P39265,D-allose-binding periplasmic protein,alsB,>sp|P39265|ALSB_ECOLI D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1,1,37.4973521,22.40868682,17.65906198,25.85503363
P36548;Q1PH25,N-acetylmuramoyl-L-alanine amidase AmiA,amiA,>sp|P36548|AMIA_ECOLI N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1;>tr|Q1PH25|Q1PH25_ECOLI N-acetylmuramoyl-L-alanine amidase I (Fragment) OS=Escherichia coli (strain K12) GN=amiA PE=4 SV=1,2,0,5.405119721,0.739468469,2.048196063
P63883,N-acetylmuramoyl-L-alanine amidase AmiC,amiC,>sp|P63883|AMIC_ECOLI N-acetylmuramoyl-L-alanine amidase AmiC OS=Escherichia coli (strain K12) GN=amiC PE=1 SV=1,1,0,0.970559263,1.439612477,0.80339058
P75820,N-acetylmuramoyl-L-alanine amidase AmiD,amiD,>sp|P75820|AMID_ECOLI N-acetylmuramoyl-L-alanine amidase AmiD OS=Escherichia coli (strain K12) GN=amiD PE=1 SV=1,1,0,0,3.353457936,1.117819312
P0AE12,AMP nucleosidase,amn,>sp|P0AE12|AMN_ECOLI AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1,1,232.7742826,143.5734045,190.5891063,188.9789312
P00811,Beta-lactamase,ampC,>sp|P00811|AMPC_ECOLI Beta-lactamase OS=Escherichia coli (strain K12) GN=ampC PE=1 SV=1,1,17.03141705,6.063045194,9.007386257,10.70061617
P13016,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",ampD,">sp|P13016|AMPD_ECOLI 1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD OS=Escherichia coli (strain K12) GN=ampD PE=2 SV=1",1,110.5294217,53.66768637,64.79090989,76.32933932
P0AE16,Protein AmpG,ampG,>sp|P0AE16|AMPG_ECOLI Protein AmpG OS=Escherichia coli (strain K12) GN=ampG PE=1 SV=1,1,0.985794153,0.77047348,1.099580423,0.951949352
P26612,Cytoplasmic alpha-amylase,amyA,>sp|P26612|AMY2_ECOLI Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3,1,0.898246458,0.698646823,0.239614389,0.612169223
P77570,Anhydro-N-acetylmuramic acid kinase,anmK,>sp|P77570|ANMK_ECOLI Anhydro-N-acetylmuramic acid kinase OS=Escherichia coli (strain K12) GN=anmK PE=1 SV=1,1,81.55704512,118.9312892,116.8142839,105.7675394
P0A962,L-asparaginase 1,ansA,>sp|P0A962|ASPG1_ECOLI L-asparaginase 1 OS=Escherichia coli (strain K12) GN=ansA PE=1 SV=1,1,51.04722624,51.73437092,42.28939274,48.35699663
P00805,L-asparaginase 2,ansB,>sp|P00805|ASPG2_ECOLI L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2,1,3246.811375,2568.349528,2826.689586,2880.61683
P62672,Protein ApaG,apaG,>sp|P62672|APAG_ECOLI Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1,1,90.82604084,49.15784177,73.67655358,71.2201454
P05637,Bis(5-nucleosyl)-tetraphosphatase [symmetrical],apaH,>sp|P05637|APAH_ECOLI Bis(5-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2,1,10.50304902,4.419227812,8.734546092,7.885607641
P0AB85,Thiamine biosynthesis lipoprotein ApbE,apbE,>sp|P0AB85|APBE_ECOLI Thiamine biosynthesis lipoprotein ApbE OS=Escherichia coli (strain K12) GN=apbE PE=1 SV=1,1,3.240875085,0,0,1.080291695
P0AE22,Class B acid phosphatase,aphA,>sp|P0AE22|APHA_ECOLI Class B acid phosphatase OS=Escherichia coli (strain K12) GN=aphA PE=1 SV=1,1,156.3213529,167.0449975,157.5023822,160.2895775
P69503,Adenine phosphoribosyltransferase,apt,>sp|P69503|APT_ECOLI Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1,1,364.1206545,273.1133705,234.1642566,290.4660939
P08202,L-arabinose isomerase,araA,>sp|P08202|ARAA_ECOLI L-arabinose isomerase OS=Escherichia coli (strain K12) GN=araA PE=1 SV=3,1,7.027763448,4.752136398,5.968090448,5.915996765
P08204,Ribulokinase,araB,>sp|P08204|ARAB_ECOLI Ribulokinase OS=Escherichia coli (strain K12) GN=araB PE=1 SV=4,1,1.971113176,3.895458461,1.495190647,2.453920761
P02924,L-arabinose-binding periplasmic protein,araF,>sp|P02924|ARAF_ECOLI L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2,1,64.27035615,67.25155989,76.24559457,69.25583687
P0AAF3,Arabinose import ATP-binding protein AraG,araG,>sp|P0AAF3|ARAG_ECOLI Arabinose import ATP-binding protein AraG OS=Escherichia coli (strain K12) GN=araG PE=1 SV=1,1,10.49339172,6.248066055,6.911242311,7.884233362
P0AE26,L-arabinose transport system permease protein AraH,araH,>sp|P0AE26|ARAH_ECOLI L-arabinose transport system permease protein AraH OS=Escherichia coli (strain K12) GN=araH PE=3 SV=2,1,0.66433143,3.584612192,1.415913758,1.888285793
P0A9Q1;A5PFK0;A5PFJ8,Aerobic respiration control protein ArcA,arcA;arcA2,>sp|P0A9Q1|ARCA_ECOLI Aerobic respiration control protein ArcA OS=Escherichia coli (strain K12) GN=arcA PE=1 SV=1;>tr|A5PFK0|A5PFK0_ECOLI Disrupted ArcA (Fragment) OS=Escherichia coli (strain K12) GN=arcA2 PE=4 SV=1,3,2101.083675,1444.058122,1449.296021,1664.812606
P0AEC3,Aerobic respiration control sensor protein ArcB,arcB,>sp|P0AEC3|ARCB_ECOLI Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1,1,32.71381623,19.5887327,28.13814257,26.81356384
P0A6C5,Amino-acid acetyltransferase,argA,>sp|P0A6C5|ARGA_ECOLI Amino-acid acetyltransferase OS=Escherichia coli (strain K12) GN=argA PE=1 SV=1,1,8.067694477,6.978274699,8.868077078,7.971348751
P0A6C8,Acetylglutamate kinase,argB,>sp|P0A6C8|ARGB_ECOLI Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1,1,382.3713663,246.3816339,290.1555631,306.3028544
P11446,N-acetyl-gamma-glutamyl-phosphate reductase,argC,>sp|P11446|ARGC_ECOLI N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) GN=argC PE=3 SV=1,1,26.55436442,21.62675071,35.66258995,27.94790169
P18335,Acetylornithine/succinyldiaminopimelate aminotransferase,argD,>sp|P18335|ARGD_ECOLI Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4,1,18.37031121,13.91167455,13.6717837,15.31792316
P23908,Acetylornithine deacetylase,argE,>sp|P23908|ARGE_ECOLI Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2,1,27.26641442,15.44787834,32.74376904,25.15268727
P0A6E4,Argininosuccinate synthase,argG,>sp|P0A6E4|ASSY_ECOLI Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,1,196.3278191,193.5236324,224.5025589,204.7846701
P11447,Argininosuccinate lyase,argH,>sp|P11447|ARLY_ECOLI Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3,1,209.0282264,188.6242302,215.1353379,204.2625982
P04391;P06960,Ornithine carbamoyltransferase chain I;Ornithine carbamoyltransferase chain F,argI;argF,>sp|P04391|OTC1_ECOLI Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3;>sp|P06960|OTC2_ECOLI Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4,2,248.1966632,193.2227489,218.7284861,220.0492994
P0A6D0,Arginine repressor,argR,>sp|P0A6D0|ARGR_ECOLI Arginine repressor OS=Escherichia coli (strain K12) GN=argR PE=1 SV=1,1,212.733908,222.865252,158.4301087,198.0097562
P11875,Arginine--tRNA ligase,argS,>sp|P11875|SYR_ECOLI Arginine--tRNA ligase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1,1,445.9161879,365.5845608,415.282925,408.9278913
P77398,"Bifunctional polymyxin resistance protein ArnA;UDP-4-amino-4-deoxy-L-arabinose formyltransferase;UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating",arnA,>sp|P77398|ARNA_ECOLI Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli (strain K12) GN=arnA PE=1 SV=1,1,16.85366918,15.73915852,23.27077045,18.62119938
P77690,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,arnB,>sp|P77690|ARNB_ECOLI UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase OS=Escherichia coli (strain K12) GN=arnB PE=1 SV=2,1,40.64814968,6.135118107,24.35033079,23.71119953
P77757,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,arnC,>sp|P77757|ARNC_ECOLI Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase OS=Escherichia coli (strain K12) GN=arnC PE=1 SV=1,1,15.16352569,8.644290131,9.104925156,10.97091366
P0A6D3,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,>sp|P0A6D3|AROA_ECOLI 3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=aroA PE=1 SV=1,1,92.56109276,71.74552446,85.64731225,83.31797649
P07639,3-dehydroquinate synthase,aroB,>sp|P07639|AROB_ECOLI 3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1,1,201.7078498,198.9031696,222.9153234,207.8421143
P12008,Chorismate synthase,aroC,>sp|P12008|AROC_ECOLI Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4,1,70.40582583,49.4886576,54.10750586,58.0006631
P05194,3-dehydroquinate dehydratase,aroD,>sp|P05194|AROD_ECOLI 3-dehydroquinate dehydratase OS=Escherichia coli (strain K12) GN=aroD PE=1 SV=2,1,128.394905,82.10408005,100.3626362,103.6205404
P15770,Shikimate dehydrogenase,aroE,>sp|P15770|AROE_ECOLI Shikimate dehydrogenase OS=Escherichia coli (strain K12) GN=aroE PE=1 SV=1,1,40.43236202,30.16266014,32.57229067,34.38910428
P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,">sp|P00888|AROF_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1",1,4.77460266,0,0.8609674,1.878523353
P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",aroG,">sp|P0AB91|AROG_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1",1,245.073035,252.8548858,262.6674526,253.5317911
P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,">sp|P00887|AROH_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4",1,23.93173149,35.21211876,54.1454425,37.76309758
P0A6D7,Shikimate kinase 1,aroK,>sp|P0A6D7|AROK_ECOLI Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2,1,602.9235668,638.4058132,572.3097168,604.5463656
P0A6E1,Shikimate kinase 2,aroL,>sp|P0A6E1|AROL_ECOLI Shikimate kinase 2 OS=Escherichia coli (strain K12) GN=aroL PE=1 SV=3,1,82.7426279,43.33559409,72.57199637,66.21673945
P0AB96,Arsenate reductase,arsC,>sp|P0AB96|ARSC_ECOLI Arsenate reductase OS=Escherichia coli (strain K12) GN=arsC PE=3 SV=1,1,18.70962301,8.432045583,13.26004339,13.46723732
P30859,Putative ABC transporter arginine-binding protein 2,artI,>sp|P30859|ARTI_ECOLI Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) GN=artI PE=1 SV=3,1,349.494103,261.6810279,286.8991141,299.3580816
P30860,ABC transporter arginine-binding protein 1,artJ,>sp|P30860|ARTJ_ECOLI ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2,1,118.1512597,106.7880793,79.95949685,101.6329453
P0AAF6,Arginine transport ATP-binding protein ArtP,artP,>sp|P0AAF6|ARTP_ECOLI Arginine transport ATP-binding protein ArtP OS=Escherichia coli (strain K12) GN=artP PE=1 SV=1,1,29.34632691,18.65286242,31.49945898,26.49954944
P0AE34,Arginine ABC transporter permease protein ArtQ,artQ,>sp|P0AE34|ARTQ_ECOLI Arginine ABC transporter permease protein ArtQ OS=Escherichia coli (strain K12) GN=artQ PE=1 SV=1,1,4.431975361,3.401857731,6.832136427,4.888656506
P0A9Q9,Aspartate-semialdehyde dehydrogenase,asd,>sp|P0A9Q9|DHAS_ECOLI Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1,1,651.4066949,516.6409066,775.8461268,647.9645761
P28249,Protein AsmA,asmA,>sp|P28249|ASMA_ECOLI Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2,1,34.63580387,42.21839118,47.96381427,41.60600311
P00963,Aspartate--ammonia ligase,asnA,>sp|P00963|ASNA_ECOLI Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,1,1518.398518,1445.164124,1644.265327,1535.942656
P22106,Asparagine synthetase B [glutamine-hydrolyzing],asnB,>sp|P22106|ASNB_ECOLI Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3,1,318.7671769,209.6558814,282.1451673,270.1894085
P0ACI6,Regulatory protein AsnC,asnC,>sp|P0ACI6|ASNC_ECOLI Regulatory protein AsnC OS=Escherichia coli (strain K12) GN=asnC PE=1 SV=1,1,4.34835913,6.655792268,3.999892481,5.001347959
P0A8M0,Asparagine--tRNA ligase,asnS,>sp|P0A8M0|SYN_ECOLI Asparagine--tRNA ligase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2,1,1678.346638,1356.674615,1494.521499,1509.847584
P0AC38,Aspartate ammonia-lyase,aspA,>sp|P0AC38|ASPA_ECOLI Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1,1,15217.2609,11187.38382,13348.79766,13251.14746
P00509,Aspartate aminotransferase,aspC,>sp|P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,1,4252.492185,3034.624198,3545.273454,3610.796612
P21889,Aspartate--tRNA ligase,aspS,>sp|P21889|SYD_ECOLI Aspartate--tRNA ligase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,1,944.743267,838.8668318,1081.569995,955.0600312
Q06065,Acetoacetate metabolism regulatory protein AtoC,atoC,>sp|Q06065|ATOC_ECOLI Acetoacetate metabolism regulatory protein AtoC OS=Escherichia coli (strain K12) GN=atoC PE=3 SV=2,1,21.19399698,12.71200336,17.34722189,17.08440741
Q06067,Signal transduction histidine-protein kinase AtoS,atoS,>sp|Q06067|ATOS_ECOLI Signal transduction histidine-protein kinase AtoS OS=Escherichia coli (strain K12) GN=atoS PE=3 SV=1,1,1.489471572,1.0582219,3.620661355,2.056118276
