# Generated from the following BioVelo query on EcoCyc, 11:22am, November 4, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, (regulators-of-site x), Evidence) : x<-ECOLI^^DNA-Binding-Sites, !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Site", "Frame ID", "Regulators",  "Evidence")), 2)
CpxR-phosphorylated DNA-binding-site 53 bases upstream of yccAp	BS0-7273	CpxR-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-CHIP-EXO-MANUAL,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-QRTPCR,EV-EXP-IEP-RNA-SEQ
Nac DNA-binding-site regulating ydiY	BS0-8889	DNA-binding transcriptional dual regulator Nac	EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-CHIP-SEQ,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
Mlc DNA-binding-site 13 bases downstream of ptsHp	BS0-1523	DNA-binding transcriptional repressor Mlc,Mlc-PtsG	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site (BS0-10761)	BS0-10761	DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional  repressor CRP-Sxy,DNA-binding transcriptional dual regulator CRP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,cyclic-AMP	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-QRTPCR
Fnr DNA-binding-site 90.5 bases upstream of cydDp	BS783	DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator FNR	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
FabR DNA-binding-site 20.5 bases upstream of fabBp	BS0-1362	DNA-binding transcriptional repressor FabR	EV-EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Cra DNA-binding-site 105.5 bases upstream of cydAp5	BS0-8248	DNA-binding transcriptional regulator Cra,DNA-binding transcriptional dual regulator Cra,Cra-&beta;-D-fructofuranose 1-phosphate,&beta;-D-fructofuranose 1-phosphate	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
SlyA DNA-binding-site 109.5 bases upstream of pagPp	BS0-8794	DNA-binding transcriptional dual regulator SlyA,DNA-binding transcriptional dual regulator SlyA	EV-COMP-HINF-PATTERN-DISCOVERY,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CueR-Cu DNA-binding-site (BS0-10779)	BS0-10779	DNA-binding transcriptional dual regulator CueR,CueR-Cu<sup>+</sup>,DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>,CueR-Cu<SUP>+</SUP>,Cu<SUP>+</SUP>	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-QRTPCR
NtrC phosphorylated dimer DNA-binding-site 145 bases upstream of rutAp	BS0-2701	NtrC phosphorylated dimer,DNA-binding transcriptional dual regulator NtrC,DNA-binding transcriptional dual regulator NtrC,DNA-binding transcriptional dual regulator NtrC-phosphorylated	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-HTP-HDA-3D-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10964)	BS0-10964	DNA-binding transcriptional dual regulator Fur,[2Fe-2S] cluster DNA-binding transcriptional dual regulator,Fe<sup>2+</sup>	EV-EXP-CHIP-SEQ,EV-EXP-IEP-RNA-SEQ
LldR-L-lactate DNA-binding-site (BS0-10823)	BS0-10823	DNA-binding transcriptional dual regulator LldR,DNA-binding transcriptional dual regulator LldR-<i>S</i>-lactate,(<i>S</i>)-lactate	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA,EV-COMP-HINF-PATTERN-DISCOVERY,EV-EXP-GSELEX,EV-EXP-IEP-QRTPCR,EV-EXP-IEP-NORTHERN
BirA-bio-5'-AMP DNA-binding-site 11.5 bases downstream of bioAp	BS00034	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase,biotinyl-5'-adenylate	EV-EXP-IMP-SITE-MUTATION
Nac DNA-binding-site regulating rsmF	BS0-8852	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases downstream of fhuEp	BS0-2021	DNA-binding transcriptional dual regulator Fur,[2Fe-2S] cluster DNA-binding transcriptional dual regulator,Fe<sup>2+</sup>	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-CHIP-EXO-MANUAL,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
NarL-Pasp59 DNA-binding-site 48 bases upstream of yeaRp	BS0-7447	DNA-binding transcriptional dual regulator NarL,DNA-binding transcriptional dual regulator NarL-phosphorylated	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-BETA-GAL
IHF DNA-binding-site 57 bases upstream of atoDp	BS0-7420	integration host factor subunit &alpha;,integration host factor subunit &beta;,DNA-binding transcriptional dual regulator IHF	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
NrdR transcriptional repressor DNA-binding-site 14.5 bases upstream of nrdHp	BS0-7386	NrdR transcriptional repressor,NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor,Zn<SUP>2+</SUP>	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CpxR-phosphorylated DNA-binding-site 159 bases upstream of sbmAp	BS0-8360	CpxR-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-QRTPCR
IscR DNA-binding-site 104.5 bases upstream of sufAp	BS0-7429	DNA-binding transcriptional dual regulator IscR,DNA-binding transcriptional repressor IscR-a [2Fe-2S] iron-sulfur cluster,a [2Fe-2S] iron-sulfur cluster	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
YdiP DNA-binding-site (BS0-10805)	BS0-10805	DNA-binding transcriptional regulator YdiP	EV-EXP-CHIP-SEQ-MANUAL,EV-EXP-CHIP-PCR-MANUAL,EV-EXP-IEP-QRTPCR
Fis DNA-binding-site 10 bases upstream of hnsp	BS0-3342	DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Fis	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS
NsrR DNA-binding-site 184 bases upstream of feaBp1	BS0-7643	DNA-binding transcriptional regulator NsrR,NsrR-nitric oxide,DNA-binding transcriptional dual regulator NsrR	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Cra DNA-binding-site (BS0-10981)	BS0-10981	DNA-binding transcriptional regulator Cra,DNA-binding transcriptional dual regulator Cra,Cra-&beta;-D-fructofuranose 1-phosphate,&beta;-D-fructofuranose 1-phosphate	EV-EXP-CHIP-EXO-MANUAL,EV-EXP-IEP-RNA-SEQ
Lrp DNA-binding-site (BS0-10202)	BS0-10202	DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Lrp-L-leucine,L-leucine	EV-EXP-CHIP-SEQ,EV-EXP-IEP-RNA-SEQ
DNA-binding transcriptional dual regulator Fur DNA-binding-site 65 bases upstream of ftnAp	BS0-7829	DNA-binding transcriptional dual regulator Fur,[2Fe-2S] cluster DNA-binding transcriptional dual regulator,Fe<sup>2+</sup>	EV-EXP-CHIP-EXO,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-CHIP-EXO-MANUAL,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
Fis DNA-binding-site 120 bases upstream of glcCp	BS0-7529	DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Fis	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
H-NS DNA-binding-site regulating cydAp2	BS0-2343	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
IHF DNA-binding-site 52 bases upstream of fimAp	BS181	integration host factor subunit &alpha;,integration host factor subunit &beta;,DNA-binding transcriptional dual regulator IHF	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
ArcA-Pasp54 DNA-binding-site 27 bases downstream of mdhp1	BS00297	DNA-binding transcriptional dual regulator ArcA,DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of treBp	BS00691	DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional  repressor CRP-Sxy,DNA-binding transcriptional dual regulator CRP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,cyclic-AMP	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION
MetJ-SAM DNA-binding-site 56.5 bases upstream of metBp	BS0-2941	DNA-binding transcriptional repressor MetJ,MetJ-adenine,MetJ-MTA,MetJ-S-adenosylmethionine,DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,MetJ-SAM-AdoMet,<i>S</i>-adenosyl-L-methionine	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 34.5 bases upstream of proPp1	BS00684	DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional  repressor CRP-Sxy,DNA-binding transcriptional dual regulator CRP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,cyclic-AMP	EV-EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS,EV-EXP-IMP-SITE-MUTATION,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Nac DNA-binding-site (BS0-10042)	BS0-10042	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
GadX DNA-binding-site 78 bases upstream of gadAp2	BS0-1743	DNA-binding transcriptional dual regulator GadX	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
ArcA-Pasp54 DNA-binding-site (BS0-9483)	BS0-9483	DNA-binding transcriptional dual regulator ArcA,DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-CHIP-CHIP,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-MICROARRAY,EV-EXP-IEP-MICROARRAY
Fnr DNA-binding-site 61.5 bases upstream of uppp	BS0-7151	DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator FNR	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
IHF DNA-binding-site 145 bases upstream of sufAp	BS0-6948	integration host factor subunit &alpha;,integration host factor subunit &beta;,DNA-binding transcriptional dual regulator IHF	EV-EXP-IMP-SITE-MUTATION,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS
CpxR-phosphorylated DNA-binding-site 165 bases upstream of ppiDp2	BS0-7117	CpxR-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IMP-SITE-MUTATION
Cra DNA-binding-site 185.5 bases upstream of pdhRp2	BS0-7675	DNA-binding transcriptional regulator Cra,DNA-binding transcriptional dual regulator Cra,Cra-&beta;-D-fructofuranose 1-phosphate,&beta;-D-fructofuranose 1-phosphate	EV-EXP-GSELEX,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-CHIP-EXO,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-COMP-AINF,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
PgrR DNA-binding-site regulating tyrRp	BS0-8519	DNA-binding transcriptional repressor PgrR	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IGI,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CpxR-phosphorylated DNA-binding-site 63 bases upstream of degPp	BS0-7113	CpxR-phosphorylated,DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-QRTPCR
Cra DNA-binding-site 35.5 bases upstream of fbaBp	BS0-7966	DNA-binding transcriptional regulator Cra,DNA-binding transcriptional dual regulator Cra,Cra-&beta;-D-fructofuranose 1-phosphate,&beta;-D-fructofuranose 1-phosphate	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
MntR DNA-binding-site 5.5 bases downstream of mntHp	BS0-6062	DNA-binding transcriptional dual regulator MntR,MntR-Mn<sup>2+</sup>,MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,MntR-Mn<SUP>2+</SUP>,Mn<SUP>2+</SUP>	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Lrp DNA-binding-site (BS0-9711)	BS0-9711	DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Lrp-L-leucine,L-leucine	EV-EXP-CHIP-SEQ,EV-EXP-CHIP-CHIP,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-MICROARRAY
Fis DNA-binding-site 103 bases upstream of carAp1	BS0-7491	DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Fis	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
FlhDC DNA-binding-site (BS0-10567)	BS0-10567	DNA-binding transcriptional dual regulator FlhD,DNA-binding transcriptional dual regulator FlhC,FlhDC DNA-binding transcriptional dual regulator	EV-EXP-CHIP-PCR-MANUAL,EV-EXP-CHIP-SEQ-MANUAL,EV-EXP-IEP-RNA-SEQ
H-NS DNA-binding-site (BS0-10558)	BS0-10558	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
MatA DNA-binding-site regulating ecpRp	BS0-8243	DNA-binding transcriptional dual regulator MatA	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS
Cra DNA-binding-site 35.5 bases upstream of zwfp	BS0-7965	DNA-binding transcriptional regulator Cra,DNA-binding transcriptional dual regulator Cra,Cra-&beta;-D-fructofuranose 1-phosphate,&beta;-D-fructofuranose 1-phosphate	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
LeuO DNA-binding-site 118 bases upstream of bglGp1	BS0-7572	DNA-binding transcriptional dual regulator LeuO	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-IC,EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
RstA-Pasp52 DNA-binding-site 50.5 bases upstream of csgDp3	BS0-7391	DNA-binding transcriptional regulator RstA,DNA-binding transcriptional regulator RstA-phosphorylated	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of chiZp	BS0-8431	DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional  repressor CRP-Sxy,DNA-binding transcriptional dual regulator CRP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,cyclic-AMP	EV-COMP-HINF-SIMILAR-TO-CONSENSUS
QseB-Pasp51 DNA-binding-site 49 bases upstream of feaRp1	BS0-8691	DNA-binding transcriptional activator QseB,Phosphorylated DNA-binding transcriptional activator QseB	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Lrp DNA-binding-site (BS0-10155)	BS0-10155	DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Lrp-L-leucine,L-leucine	EV-EXP-CHIP-SEQ,EV-EXP-IEP-RNA-SEQ
Lrp DNA-binding-site (BS0-10178)	BS0-10178	DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Lrp-L-leucine,L-leucine	EV-EXP-CHIP-SEQ,EV-EXP-IEP-RNA-SEQ
Fis DNA-binding-site 73 bases upstream of valUp	BS0-7739	DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Fis	EV-EXP-IMP-SITE-MUTATION,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS
PdhR DNA-binding-site (BS0-10578)	BS0-10578	DNA-binding transcriptional dual regulator PdhR,PdhR-pyruvate,pyruvate	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-GSELEX,EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
PhoP-Pasp51 DNA-binding-site 53 bases downstream of safAp	BS0-7939	DNA-binding transcriptional dual regulator PhoP,DNA-binding transcriptional dual regulator PhoP-phosphorylated	EV-COMP-HINF-SIMILAR-TO-CONSENSUS,EV-EXP-IMP-SITE-MUTATION,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
OxyR DNA-binding-site 2 bases downstream of katGp	BS0-8762	DNA-binding transcriptional dual regulator OxyR	EV-EXP-CHIP-EXO-MANUAL,EV-COMP-HINF,EV-EXP-IEP-RNA-SEQ
Nac DNA-binding-site (BS0-9904)	BS0-9904	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
Nac DNA-binding-site (BS0-9894)	BS0-9894	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
ArcA-Pasp54 DNA-binding-site 57 bases upstream of ndhp	BS0-3462	DNA-binding transcriptional dual regulator ArcA,DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of malXp	BS00720	DNA-binding transcriptional dual regulator CRP,DNA-binding transcriptional  repressor CRP-Sxy,DNA-binding transcriptional dual regulator CRP,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,cyclic-AMP	EV-EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS,EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IMP-SITE-MUTATION,EV-COMP-AINF-SIMILAR-TO-CONSENSUS,EV-EXP-IMP-SITE-MUTATION,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
GlaR DNA-binding-site (BS0-9615)	BS0-9615	DNA-binding transcriptional repressor GlaR,GlaR-glutarate,glutarate	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
Nac DNA-binding-site (BS0-9917)	BS0-9917	DNA-binding transcriptional dual regulator Nac	EV-EXP-CHIP-SEQ,EV-COMP-AINF-PATTERN-DISCOVERY,EV-EXP-IEP-RNA-SEQ
