# Generated from the following BioVelo query on EcoCyc, 12:28pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^regulated-by, [c: c<-x^components, c isa DNA-Binding-Sites]) : x<-ECOLI^^Transcription-Units,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Regulated by", "DNA Binding Sites", "Evidence")), 2)
cyaY	TU0-14229
rybA-mntS	TU0-42460
pgk	TU0-8083
ygaM	TU0-13711
rhaBAD	TU00219		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 122.5 bases upstream of rhaBp,RhaS-rhamnose DNA-binding-site 40 bases upstream of rhaBp,RhaS-rhamnose DNA-binding-site 73 bases upstream of rhaBp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of rhaBp
insA2B2AB2-afuBC	TU0-12865
panE-yajL	TU0-12924
fldA-uof-fur	TU0-1282		SoxS DNA-binding-site 61.5 bases upstream of fldAp
oppA	TU0-198697
aroF-tyrA	TU00008		TyrR-tyr DNA-binding-site 104.5 bases upstream of aroFp,TyrR-tyr DNA-binding-site 52.5 bases upstream of aroFp,TyrR-tyr DNA-binding-site 29.5 bases upstream of aroFp
kefGB-yheV	TU0-13918
sdsR-pphA	TU0-45144
yddH	TU0-8703
mutY-yggX-mltC	TU0-5782
yihF	TU0-14058
ydeM	TU0-13291
lpxT	TU0-44219
rph-pyrE	TU00334
yjaB	TU0-5062
pphB	TU0-13720	Regulation of pphB by DNA-binding transcriptional dual regulator Nac
xapB	TU0-44210
yihXY-dtd-fabY	TU0-14070
mreB	TU0-14389
tomB-hha	TU0-12943		CpxR-phosphorylated DNA-binding-site 50 bases upstream of tomBp
yeiQ	TU0-13548
ryfD	TU0-14423
yjjQ-bglJ	TU0-14571
holC	TU0-14322
rplKAJL-rpoBC	TU0-6512	Regulation of rplKAJL-rpoBC by 50S ribosomal subunit protein L1
rhtC	TU0-14048
mtlADR	TU00193	Regulation of mtlADR by Cra-&beta;-D-fructofuranose 1-phosphate	Fis DNA-binding-site 137 bases downstream of mtlAp,Cra DNA-binding-site 22.5 bases upstream of mtlAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 58.5 bases upstream of mtlAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 261.5 bases upstream of mtlAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 219.5 bases upstream of mtlAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 175.5 bases upstream of mtlAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 102.5 bases upstream of mtlAp
yihR	TU0-14067
ysgA	TU0-8661	Regulation of ysgA by small regulatory RNA GcvB,Regulation of ysgA by ppGpp	Fnr DNA-binding-site regulating ysgAp
manXYZ-yobD	TU0-198707	Regulation of manXYZ-yobD by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
agp	TU0-7401	Regulation of agp by ppGpp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 232.5 bases upstream of agpp
dnaN-recF	TU0-45187
pinE	TU0-13153
rhoL-rho	TU0-6941
yghSR	TU0-13817	Regulation of yghSR by DNA-binding transcriptional dual regulator LeuO
yfgM	TU0-14647
bglG	TU0-42515
fumD	TU0-13365	Regulation of fumD by DNA-binding transcriptional dual regulator Nac
mreB	TU0-14390
ygeW	TU0-13773	Regulation of ygeW by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
pstCAB-phoU	TU0-45204
rhsC-ybfB	TU0-13026
yiiX	TU0-14088
yehE	TU0-13517	Regulation of yehE by DNA-binding transcriptional repressor GlaR,Regulation of yehE by DNA-binding transcriptional dual regulator Nac,Regulation of yehE by ppGpp
acs-yjcHG	TU0-3721		IHF DNA-binding-site 225 bases upstream of acsp,Fis DNA-binding-site 265 bases upstream of acsp
ypjA	TU0-13700	Regulation of ypjA by DNA-binding transcriptional repressor GlaR
fliLMNOPQR	TU0-1441
fhuF	TU0-7701		DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases downstream of yjjZp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 27 bases upstream of yjjZp
yibN	TU0-13997
ycdT	TU0-8682	Regulation of ycdT by carbon storage regulator CsrA,Regulation of ycdT by carbon storage regulator CsrA
rzoD	TU0-12978
ssrS-ygfA	TU0-14689
pykF	TU0-45244
yfbN	TU0-8732
metY-yhbC-nusA-infB	TU00517		Fis DNA-binding-site 75 bases upstream of metYp1
yeaVW	TU0-13411
nagK-cobB	TU0-13142
yibL	TU0-13993
malEFGH	TU00038		MalT-maltotriose-ATP DNA-binding-site 64.5 bases upstream of malKp,MalT-maltotriose-ATP DNA-binding-site 74.5 bases upstream of malKp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 100.5 bases upstream of malKp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 132.5 bases upstream of malKp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 166.5 bases upstream of malKp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of malKp,MalT-maltotriose-ATP DNA-binding-site 40.5 bases upstream of malKp,MalT-maltotriose-ATP DNA-binding-site 220.5 bases upstream of malKp,MalT-maltotriose-ATP DNA-binding-site 230.5 bases upstream of malKp
yidI	TU0-8595
rrsH-ileV-alaV-rrlH-rrfH	TU0-1189		Fis DNA-binding-site 181 bases upstream of rrsHp,Fis DNA-binding-site 134 bases upstream of rrsHp,Fis DNA-binding-site 91 bases upstream of rrsHp,Fis DNA-binding-site 71 bases upstream of rrsHp
rhoL	TU0-42518
yghU	TU0-8753
ycgY	TU0-13177
yebO	TU0-13423
gnsB	TU0-13319
ychN	TU0-8690
plsC	TU0-13829
tsgA	TU0-13922
ylaC	TU0-12941
fur	TU00121		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 77.5 bases upstream of furpa,DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of furpa
yggG	TU0-14235
ydjM	TU0-8261		LexA DNA-binding-site 17.5 bases downstream of ydjMp
serA	TU0-2342		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of serAp2,Lrp-leu DNA-binding-site regulating serAp2
kdsC-lptCAB	TU0-36432
glyQS	TU00281
topA	TU0-2504		Fis DNA-binding-site 94 bases upstream of topAp4,Fis DNA-binding-site 68 bases upstream of topAp4,Fis DNA-binding-site 37 bases upstream of topAp4,Fis DNA-binding-site 16 bases upstream of topAp4,Fis DNA-binding-site 6 bases downstream of topAp4
alaA-yfbR	TU0-36413
yiaB	TU0-13983
nhaR	TU0-14299	Regulation of nhaR by DNA-binding transcriptional dual regulator YdeO
pepE	TU0-8488
bluF	TU0-42501
pgk-fbaA	TU0-14816
degQS	TU0-13898
pgrR	TU0-13217
lfhA	TU0-14247
dpiBA	TU0-13000	Regulation of dpiBA by small regulatory RNA ChiX
rrlH-rrfH	TU0-14524
yidL	TU0-8596
sokX	TU0-44223
chaA	TU0-8777	Regulation of chaA by DNA-binding transcriptional repressor GlaR
glpEGR	TU401		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 58.5 bases upstream of glpEp
deoCABD	TU00017		DeoR DNA-binding-site 8 bases upstream of deoCp1,DeoR DNA-binding-site 269 bases downstream of deoCp1,DeoR DNA-binding-site 608 bases upstream of deoCp1
ynfM	TU0-13341
ompA	TU00048	Regulation of ompA by small regulatory RNA RseX,Regulation of ompA by small regulatory RNA MicA	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 39.5 bases upstream of ompAp1
ymdB	TU0-42666
elbB-mtgA	TU0-13890
yjbS	TU0-198721
hokA	TU0-8810
hspQ	TU0-13102
yhhW	TU0-13936	Regulation of yhhW by DNA-binding transcriptional activator YhaJ
yeiW	TU0-14238
pepD	TU0-8874		CsgD DNA-binding-site 2 bases downstream of pepDp3
stpA	TU00394
ribA	TU0-1742
leuO	TU0-12807
yaaI	TU0-8538
yfjH	TU0-8744
rnc-era	TU00332
yebQ	TU0-8715	Regulation of yebQ by DNA-binding transcriptional dual regulator Nac
decR	TU0-12936
rnd	TU0-14354
alaA	TU0-13579
ycaD	TU0-13081	Regulation of ycaD by DNA-binding transcriptional dual regulator Nac
insI2	TU0-13246
yciI	TU0-13188
groSL	TU0-5003
trhP	TU0-13505
tatABC	TU0-42519
ade	TU0-8765
acs-yjcHG	TU0-45241		IHF DNA-binding-site 180 bases upstream of acsp,IHF DNA-binding-site 153 bases upstream of acsp,Fis DNA-binding-site 98 bases upstream of acsp,Fis DNA-binding-site 59 bases upstream of acsp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 122.5 bases upstream of acsp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 69.5 bases upstream of acsp
lacYA	TU0-14521
glyVXY	TU00505
grcA	TU0-1143		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of grcAp1,PdhR DNA-binding-site 17 bases downstream of grcAp1,ArcA-P<sup>asp54</sup> DNA-binding-site 99 bases upstream of grcAp1,ArcA-P<sup>asp54</sup> DNA-binding-site 82 bases upstream of grcAp1,Fnr DNA-binding-site 93.5 bases upstream of grcAp1,Fnr DNA-binding-site 40.5 bases upstream of grcAp1
yjbE	TU0-14111
yicH	TU0-14006
yidZ	TU0-14023
cstA	TU0-6821
ybeD-lipB	TU0-14470
yqfE	TU0-13796
ycgN	TU0-13171
ydhQ	TU0-8709
nrdDG	TU0-4783		Fnr DNA-binding-site 33.5 bases upstream of nrdDp,Fnr DNA-binding-site 64.5 bases upstream of nrdDp
ynaI	TU0-8636
sdiA	TU0-42465
yibD	TU0-42498	Regulation of yibD by DNA-binding transcriptional dual regulator BasR-phosphorylated
nmpC	TU356	Regulation of nmpC by small regulatory RNA RybB	OmpR-P DNA-binding-site 45.5 bases upstream of nmpCp,IHF DNA-binding-site 144 bases upstream of nmpCp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 31.5 bases upstream of nmpCp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of nmpCp
htpG	TU0-14784
ldtB	TU0-8334
yqeA	TU0-13777
rfaDFCL	TU0-4182
glrK	TU0-4405
ybaY	TU0-8552
sdiA	TU0-41901
insA-7	TU0-8829
pinR	TU0-13237	Regulation of pinR by DNA-binding transcriptional dual regulator Nac
fabI	TU0-13204
nanXY	TU0-14183
gspCDEFGHIJKLMO	TU0-14373		H-NS DNA-binding-site regulating gspCp2
ugpBAECQ	TU0-5981		PhoB-P<sup>asp53</sup> DNA-binding-site 30 bases upstream of ugpBp1
ivbL-ilvBN	TU00032		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64 bases upstream of ivbLp
yafDE	TU0-12840
gapA	TU0-4905		Cra-fructose-1-phosphate DNA-binding-site 43.5 bases upstream of gapAp
ynbG	TU0-198729
ydhF	TU0-13357
pspABCDE	TU00326		PspF DNA-binding-site 27 bases downstream of pspFp1,PspF DNA-binding-site 7 bases downstream of pspFp1,IHF DNA-binding-site 42.5 bases upstream of pspAp
ybgS	TU0-13039	Regulation of ybgS by ppGpp
ygbI	TU0-8746
ychQA-kdsA	TU305
ypjB	TU0-13702
artPIQM	TU0-14676
yggM	TU0-13808
ybbY-glxK	TU0-14616
lldPRD	TU164		LldR DNA-binding-site 30 bases downstream of lldPp,ArcA-P<sup>asp54</sup> DNA-binding-site 18 bases upstream of lldPp
yfbL	TU0-13575	Regulation of yfbL by DNA-binding transcriptional dual regulator Nac
yajI	TU0-12920
glpFKX	TU00173		GlpR DNA-binding-site 17.5 bases upstream of glpFp,GlpR DNA-binding-site 37.5 bases upstream of glpFp,GlpR DNA-binding-site 58.5 bases upstream of glpFp,GlpR DNA-binding-site 79.5 bases upstream of glpFp,GlpR DNA-binding-site 1001.5 bases downstream of glpFp,GlpR DNA-binding-site 1043.5 bases downstream of glpFp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of glpFp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of glpFp
mgrB	TU0-2447		PhoP-P<sup>asp51</sup> DNA-binding-site 33 bases upstream of mgrBp
fadR	TU0-14737
luxS	TU0-36414
insH3	TU0-13015
ptsG	TU0-1142	Regulation of ptsG by small regulatory RNA SgrS	Fis DNA-binding-site 5 bases upstream of ptsGp2,Fis DNA-binding-site 22 bases downstream of ptsGp2,Fis DNA-binding-site 61 bases downstream of ptsGp2,Fis DNA-binding-site 122 bases downstream of ptsGp2,Fis DNA-binding-site 143 bases downstream of ptsGp2,Mlc DNA-binding-site 35 bases upstream of ptsGp2
gntRKU	TU0-4881
relA	TU0-42589
galF	TU0-14346
yeiR-lpxT	TU0-13549
ompR-envZ	TU162		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 75 bases upstream of ompRp2
ycaP	TU0-13085	Regulation of ycaP by ppGpp
paaJ	TU0-44206
cdd	TU841		CytR DNA-binding-site 64 bases upstream of cddp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 94.5 bases upstream of cddp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of cddp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of cddp
ynjI	TU0-13390
yfiR-dgcN-yfiB	TU0-13679
treR	TU00397
tyrTV-tpr	TU00511		Fis DNA-binding-site 129 bases upstream of tyrTp,Fis DNA-binding-site 98 bases upstream of tyrTp,Fis DNA-binding-site 78 bases upstream of tyrTp
metJ	TU0-2707		DNA-binding transcriptional dual regulator Fur DNA-binding-site 1 bases upstream of metJp2
csrC	TU0-4822	Regulation of csrC by DksA-ppGpp,Regulation of csrC by RNA polymerase-binding transcription factor DksA,Regulation of csrC by ppGpp
rpoD	TU00437
ybdL	TU0-8559
safA-ydeO	TU0-14545
cra	TU0-12808
cmtBA-yggPF-fumE-yggC	TU0-13801
yqeC	TU0-13779
allB	TU0-44198
rimK-ybjN	TU0-2121
yqcE-ygcE	TU0-13733
ygaY	TU0-13712
rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	TU0-14439
cysZ	TU0-13622
kdgR	TU0-8841	Regulation of kdgR by DNA-binding transcriptional dual regulator Nac
yghT	TU0-8752	Regulation of yghT by DNA-binding transcriptional dual regulator Nac
alx	TU0-13859	Regulation of alx by Mn<SUP>2+</SUP>,Regulation of alx by H<SUP>+</SUP>
yedD	TU0-8719
rfaZ-waaU	TU0-14525
glf-rfc	TU0-14315
ybhL	TU0-13047
nanY	TU0-44208
murR	TU0-45167
ybiT	TU0-8503	Regulation of ybiT by DNA-binding transcriptional dual regulator Rob
smf	TU0-7282
yehDCBA	TU0-13516
ynfL	TU0-13340
yghX	TU0-13821
yeaK	TU0-13403
yfcE	TU0-13586
seqA-pgm	TU0-4444
topA	TU0-2501		Fis DNA-binding-site 20 bases downstream of topAp1,Fis DNA-binding-site 10 bases upstream of topAp1,Fis DNA-binding-site 30 bases upstream of topAp1,Fis DNA-binding-site 94 bases upstream of topAp4,Fis DNA-binding-site 68 bases upstream of topAp4,Fis DNA-binding-site 37 bases upstream of topAp4,Fis DNA-binding-site 16 bases upstream of topAp4,Fis DNA-binding-site 6 bases downstream of topAp4,Fis DNA-binding-site 129 bases upstream of topAp1,Fis DNA-binding-site 94 bases upstream of topAp1,Fis DNA-binding-site 62 bases upstream of topAp1
dmlR	TU0-13409
argF-xynR	TU0-198702	Regulation of argF-xynR by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
cyaR	TU0-45184
mscK	TU0-12944
nusA-infB	TU0-44226
nanY	TU0-44209
degP	TU584		CpxR-phosphorylated DNA-binding-site 63 bases upstream of degPp,CpxR-phosphorylated DNA-binding-site 223 bases upstream of degPp,CpxR-phosphorylated DNA-binding-site 71.5 bases upstream of degPp
creABC	TU0-14475
metZWV	TU00496
yfaE	TU0-14305
ecnAB	TU0-14145
yaiS	TU0-4401	Regulation of yaiS by DNA-binding transcriptional dual regulator Nac
trmB-yggL	TU0-13809
ydcC	TU0-13279
xdhABC	TU0-3145		Fnr DNA-binding-site regulating xdhAp1
dicA	TU0-13328	Regulation of dicA by DNA-binding transcriptional dual regulator DicA
emrRAB	TU00459		MprA DNA-binding-site 10 bases upstream of mprAp
ybgQPO	TU0-13032
uxuR	TU0-5041		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating uxuRp,ExuR DNA-binding-site 46.5 bases upstream of uxuRp,UxuR DNA-binding-site 46.5 bases upstream of uxuRp
avtA	TU0-13984
gyrB	TU0-45206		Fis DNA-binding-site 109 bases upstream of gyrBp2,Fis DNA-binding-site 62 bases upstream of gyrBp2
ygcRQ	TU0-13729
hyuA	TU0-13776
dtpB	TU0-13956	Regulation of dtpB by ppGpp
ynfN	TU0-13320
rdlA	TU0-8496
yfeN	TU0-8736
serW	TU00508
rpsMKD-rpoA-rplQ	TU00349
gss	TU0-13819
trpLEDCBA	TU00067	Regulation of trpLEDCBA by small regulatory RNA RydC,Regulation of trpLEDCBA by small regulatory RNA GcvB	TrpR-trp DNA-binding-site 11.5 bases upstream of trpLp,TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp,TrpR-trp DNA-binding-site 19.5 bases upstream of trpLp
ydgH	TU0-13344	Regulation of ydgH by DNA-binding transcriptional dual regulator Nac
pheMST-ihfA	TU0-6626
ryeA	TU0-8508
mnaT-ydcZ	TU0-13271
maeA	TU0-13287	Regulation of maeA by small regulatory RNA FnrS
ybhM	TU0-13048	Regulation of ybhM by DNA-binding transcriptional dual regulator Nac
mdtG	TU0-13125	Regulation of mdtG by DNA-binding transcriptional dual regulator Nac
mliC	TU0-13354
patD	TU0-13268
tpke70	TU0-13611
gatYZABCD	TU00169		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of gatYp,ArcA-P<sup>asp54</sup> DNA-binding-site regulating gatYp,GatR DNA-binding-site regulating gatYp
yaeI	TU0-12826
kch	TU0-4403
csgDEFG	TU0-45257	Regulation of csgDEFG by small regulatory RNA RybB,Regulation of csgDEFG by small regulatory RNA RprA,Regulation of csgDEFG by small regulatory RNA RprA,Regulation of csgDEFG by small regulatory RNA RydC,Regulation of csgDEFG by small regulatory RNA OmrB,Regulation of csgDEFG by small regulatory RNA McaS,Regulation of csgDEFG by small regulatory RNA GcvB,Regulation of csgDEFG by small regulatory RNA OmrA	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 170.5 bases upstream of csgDp3,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 100 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 52 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 48 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 21.5 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 3 bases downstream of csgDp3,CsgD DNA-binding-site 118.5 bases upstream of csgDp3,OmpR-P DNA-binding-site 49.5 bases upstream of csgDp3
ybcQ	TU0-12976
maeB	TU0-13637
wzbc	TU0-14452
ybbAP	TU0-12959
pstSCA	TU0-14693
putP	TU121
rluD-pgeF	TU0-13675
rlmN	TU0-13650
ydfH	TU0-13311
ycfJ	TU0-13137
yqjCDEK	TU0-13863
nuoABCEFGHIJKLMN	TU0-198746	Regulation of nuoABCEFGHIJKLMN by DNA-binding transcriptional dual regulator Cra
eno	TU0-14653
serS	TU0-13080
yrdD-rimN-aroE-yrdB	TU0-7281
glpFK	TU0-198704	Regulation of glpFK by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
yabR	TU0-44222
yajG	TU0-12927
ydaSTUVW-rzpR	TU0-13231	Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR,Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR,Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR,Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR
yjjX	TU0-8629
fepA-entD	TU0-198711	Regulation of fepA-entD by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
exbD	TU0-2562		DNA-binding transcriptional dual regulator Fur DNA-binding-site 46 bases upstream of exbDp
sdaA	TU00223		Lrp DNA-binding-site regulating sdaAp
pdeR	TU0-4021
glnB	TU00473		PurR-hypoxanthine DNA-binding-site 42.5 bases upstream of glnBp1
hokD	TU0-13324
nlpA	TU0-8817	Regulation of nlpA by small regulatory RNA GcvB
ymgA-ariR	TU0-13161
yneP	TU0-198731
ybhJ	TU0-13044
yehK	TU0-13522
leuQPV	TU00521		Fis DNA-binding-site 73 bases upstream of leuQp
accA	TU00230	Regulation of accA by acetyl-CoA carboxyltransferase
