Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
IHF DNA-binding-site 38.5 bases upstream of pspGp	4262777.5d0	Regulation of pspGp by DNA-binding transcriptional dual regulator IHF
AraC-arabinose DNA-binding-site 31 bases upstream of araCp	70192	Regulation of araCp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator // Regulation of araBp by AraC-alpha-L-arabinopyranose DNA-binding transcriptional activator
YdeO DNA-binding-site regulating nhaR	17910.5	Regulation of nhaR by DNA-binding transcriptional dual regulator YdeO
Nac DNA-binding-site 58 bases upstream of codBp	354826	Regulation of codBp by DNA-binding transcriptional dual regulator Nac
ArgR-arg DNA-binding-site 6.5 bases upstream of argGp	3318555.5	Regulation of argGp by ArgR-L-arginine DNA-binding transcriptional dual regulator // Regulation of metYp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 122 bases upstream of nuoAp2	2405284	Regulation of nuoAp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated
HipB DNA-binding-site regulating eutHA (BS0-8415)	2568278.5	Regulation of eutHA by antitoxin/DNA-binding transcriptional repressor HipB
IHF DNA-binding-site 227 bases upstream of yeiLp	2255063	Regulation of yeiLp by DNA-binding transcriptional dual regulator IHF
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64.5 bases upstream of cytRp	4124573.5	Regulation of cytRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of cytRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
SdiA DNA-binding-site 161.5 bases upstream of ftsQp	102705.5	Regulation of ftsQp by DNA-binding transcriptional dual regulator SdiA // Regulation of ftsQp2 by DNA-binding transcriptional dual regulator SdiA // Regulation of ftsQp1 by DNA-binding transcriptional dual regulator SdiA
NagC DNA-binding-site 462 bases upstream of fimBp2	4540205	Regulation of fimBp2 by DNA-binding transcriptional dual regulator NagC // Regulation of nanCp by DNA-binding transcriptional dual regulator NagC
IHF DNA-binding-site 47 bases upstream of glnHp2	848094	Regulation of glnHp2 by DNA-binding transcriptional dual regulator IHF
GlpR DNA-binding-site 1001.5 bases downstream of glpFp	4117160.5d0	Regulation of glpFp by DNA-binding transcriptional repressor GlpR
NarL-Pasp59 DNA-binding-site 41 bases upstream of ytfEp	4432050	Regulation of ytfEp by DNA-binding transcriptional dual regulator NarL-phosphorylated
Cra DNA-binding-site 35.5 bases upstream of zwfp	1936411.5	Regulation of zwfp by DNA-binding transcriptional dual regulator Cra
MarA DNA-binding-site 40.5 bases upstream of sodAp	4100718.5	Regulation of sodAp by DNA-binding transcriptional dual regulator MarA
IHF DNA-binding-site regulating ulaAp		Regulation of ulaAp by DNA-binding transcriptional dual regulator IHF
MqsA DNA-binding-site 42 bases downstream of mqsRp1	3168612	Regulation of mqsRp1 by antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA
ModE-MoO42- DNA-binding-site 5 bases upstream of dmsAp2	940873	Regulation of dmsAp2 by DNA-binding transcriptional dual regulator ModE-molybdate
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 2.5 bases upstream of aaeRp	3389493.5	Regulation of aaeRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of aaeXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GcvA DNA-binding-site 9 bases downstream of gcvAp	2942631	Regulation of gcvAp by DNA-binding transcriptional dual regulator GcvA // Regulation of gcvBp by DNA-binding transcriptional dual regulator GcvA
IHF DNA-binding-site 48 bases upstream of norVp	2832391	Regulation of norVp by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 23 bases upstream of nanAp	3373643	Regulation of nanAp by DNA-binding transcriptional dual regulator Fis
NsrR DNA-binding-site 7 bases upstream of ygbAp	2856835	Regulation of ygbAp by DNA-binding transcriptional dual regulator NsrR
SoxS DNA-binding-site 40 bases upstream of pqiAp3	1011626	Regulation of pqiAp3 by DNA-binding transcriptional dual regulator SoxS // Regulation of pqiAp1 by DNA-binding transcriptional dual regulator SoxS
LexA DNA-binding-site regulating insKp		Regulation of insKp by DNA-binding transcriptional repressor LexA
NarL-Pasp59 DNA-binding-site 7 bases downstream of hyaAp2	1031990	Regulation of hyaAp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of hyaAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 121.5 bases upstream of ompFp2	987213.5	Regulation of ompFp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of ompFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
TyrR-tyr DNA-binding-site 148.5 bases upstream of folAp	49650.5	Regulation of folAp by DNA-binding transcriptional repressor TyrR-L-tyrosine
IHF DNA-binding-site 42.5 bases upstream of pspAp	1367995.5d0	Regulation of pspAp by DNA-binding transcriptional dual regulator IHF
Nac DNA-binding-site regulating ybhH	800734	Regulation of ybhH by DNA-binding transcriptional dual regulator Nac
GalS DNA-binding-site 136.5 bases downstream of galPp	3088390.5	Regulation of galPp by DNA-binding transcriptional dual regulator GalS
Lrp-leu DNA-binding-site 31.5 bases downstream of leuEp	1880769.5	Regulation of leuEp by DNA-binding transcriptional dual regulator Lrp-L-leucine
BaeR-Pasp61 DNA-binding-site 157.5 bases upstream of spyp	1825845.5	Regulation of spyp by DNA-binding transcriptional activator BaeR-phosphorylated
H-NS DNA-binding-site 72 bases downstream of proVp3	2804826	Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS
LexA DNA-binding-site 6 bases downstream of recQp	4005841	Regulation of recQp by DNA-binding transcriptional repressor LexA
Fis DNA-binding-site 16 bases upstream of topAp4	1330802	Regulation of topAp4 by DNA-binding transcriptional dual regulator Fis // Regulation of topAp1 by DNA-binding transcriptional dual regulator Fis
AgaR DNA-binding-site 21.5 bases upstream of agaSp	3281867.5	Regulation of agaSp by DNA-binding transcriptional repressor AgaR
Lrp DNA-binding-site 79 bases downstream of dadAp2	1237603	Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp
Fis DNA-binding-site 170 bases upstream of rrsEp3	4207693	Regulation of rrsEp3 by DNA-binding transcriptional dual regulator Fis // Regulation of rrsEp1 by DNA-binding transcriptional dual regulator Fis
PhoP-Pasp51 DNA-binding-site 46 bases upstream of tolCp2	3177966	Regulation of tolCp2 by DNA-binding transcriptional dual regulator PhoP-phosphorylated
IHF DNA-binding-site 4.5 bases downstream of osmEp2	1822279.5d0	Regulation of osmEp2 by DNA-binding transcriptional dual regulator IHF // Regulation of osmEp by DNA-binding transcriptional dual regulator IHF
PdhR DNA-binding-site 35 bases upstream of ndhp	1165957	Regulation of ndhp by DNA-binding transcriptional dual regulator PdhR
GlrR-Pasp56 DNA-binding-site 221.5 bases upstream of glmYp1	2691561.5	Regulation of glmYp1 by DNA-binding transcriptional activator GlrR-phosphorylated
Fis DNA-binding-site 156 bases upstream of nrdAp	2344599	Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis
GlrR-Pasp56 DNA-binding-site 125.5 bases upstream of glmYp1	2691465.5	Regulation of glmYp1 by DNA-binding transcriptional activator GlrR-phosphorylated
OxyR DNA-binding-site 210 bases upstream of sufAp	1764628	Regulation of sufAp by DNA-binding transcriptional dual regulator OxyR
SutR DNA-binding-site regulating ydcO	1506095.5	Regulation of ydcO by DNA-binding transcriptional dual regulator SutR // Regulation of sutRp by DNA-binding transcriptional dual regulator SutR
Nac DNA-binding-site regulating ddlA	401185	Regulation of iraP by DNA-binding transcriptional dual regulator Nac // Regulation of ddlA by DNA-binding transcriptional dual regulator Nac
LexA DNA-binding-site 20.5 bases downstream of ptrAp	2958991.5	Regulation of ptrAp by DNA-binding transcriptional repressor LexA
NtrC phosphorylated dimer DNA-binding-site 122 bases upstream of glnHp2	848169	Regulation of glnHp2 by NtrC phosphorylated dimer
AcrR DNA-binding-site 25.5 bases upstream of soxSp	4277448.5	Regulation of soxSp by DNA-binding transcriptional repressor AcrR // Regulation of soxRp by DNA-binding transcriptional repressor AcrR
NrdR transcriptional repressor DNA-binding-site 22.5 bases upstream of nrdDp	4462860.5	Regulation of nrdDp by NrdR-Zn2+ DNA-binding transcriptional repressor
PutA DNA-binding-site 81.5 bases upstream of putPp1	1079086.5	Regulation of putPp1 by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
MetJ-SAM DNA-binding-site 56.5 bases upstream of metBp	4128579.5d0	Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
PutA DNA-binding-site 31.5 bases upstream of putAp	1078956.5	Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
PspF DNA-binding-site 27 bases downstream of pspFp1	1367919	Regulation of pspFp1 by DNA-binding transcriptional dual regulator PspF // Regulation of pspAp by DNA-binding transcriptional dual regulator PspF
IHF DNA-binding-site 144 bases upstream of nmpCp	577014	Regulation of nmpCp by DNA-binding transcriptional dual regulator IHF
H-NS DNA-binding-site 113 bases upstream of hnsp	1293071	Regulation of hnsp by DNA-binding transcriptional dual regulator H-NS
Fis DNA-binding-site 86 bases upstream of osmEp2	1822369	Regulation of osmEp2 by DNA-binding transcriptional dual regulator Fis // Regulation of osmEp by DNA-binding transcriptional dual regulator Fis
Nac DNA-binding-site regulating yqeK	2990741	Regulation of yqeK by DNA-binding transcriptional dual regulator Nac // Regulation of ygeG by DNA-binding transcriptional dual regulator Nac
DNA-binding transcriptional dual regulator IlvY DNA-binding-site 17 bases downstream of ilvYp2	3957851	Regulation of ilvYp2 by DNA-binding transcriptional dual regulator IlvY // Regulation of ilvCp by IlvY-(S)-2-acetolactate DNA-binding transcriptional dual regulator // Regulation of ilvYp1 by DNA-binding transcriptional dual regulator IlvY
RacR DNA-binding-site regulating ydaSTUVW-rzpR (BS0-8730)	1420275	Regulation of ydaSTUVW-rzpR by Rac prophage; DNA-binding transcriptional repressor RacR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 83.5 bases upstream of cspDp	922759.5	Regulation of cspDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fnr DNA-binding-site regulating dcuSp		Regulation of dcuSp by DNA-binding transcriptional dual regulator FNR
DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of tonBp	1311039	Regulation of tonBp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Fis DNA-binding-site 5 bases upstream of ptsGp2	1157621	Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis // Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis
DNA-binding transcriptional dual regulator Fur DNA-binding-site 12 bases downstream of fiup	841637	Regulation of fiup by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of secBp	3784264.5	Regulation of secBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fnr DNA-binding-site 10.5 bases upstream of aldAp	1488179.5d0	Regulation of aldAp by DNA-binding transcriptional dual regulator FNR
H-NS DNA-binding-site regulating fimEp		Regulation of fimEp by DNA-binding transcriptional dual regulator H-NS
Fis DNA-binding-site 27 bases upstream of ansBp1	3100817	Regulation of ansBp1 by DNA-binding transcriptional dual regulator Fis
DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of cirAp1	2246946	Regulation of cirAp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of cirAp2 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 109 bases upstream of moeAp	866503	Regulation of moeAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
H-NS DNA-binding-site regulating cmoMp		Regulation of cmoMp by DNA-binding transcriptional dual regulator H-NS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of nagEp	703778.5	Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Nac DNA-binding-site regulating ygcS	2897901	Regulation of ygcS by DNA-binding transcriptional dual regulator Nac
NarL-Pasp59 DNA-binding-site 37 bases upstream of napFp2	2303614	Regulation of napFp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of napFp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
ArcA-Pasp54 DNA-binding-site 77.5 bases upstream of cydAp2	771206.5	Regulation of cydAp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
NtrC-Pasp DNA-binding-site 89 bases upstream of glnAp2	4058196	Regulation of glnAp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated // Regulation of glnAp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 156 bases downstream of gspCp3	3455686	Regulation of gspCp3 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CysB DNA-binding-site 14 bases upstream of cysBp	1333774	Regulation of cysBp by DNA-binding transcriptional dual regulator CysB
OmpR-P DNA-binding-site 90.5 bases upstream of ompFp2	987182.5	Regulation of ompFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of ompFp by DNA-binding transcriptional dual regulator OmpR-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 65.5 bases upstream of gltBp2	3354443.5	Regulation of gltBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of gltBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 4 bases upstream of frdAp2	4382416	Regulation of frdAp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of frdAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
CpxR-phosphorylated DNA-binding-site 67 bases upstream of cpxRp2	4105753	Regulation of cpxRp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of cpxPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of cpxRp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
MarA DNA-binding-site 72.5 bases upstream of acrAp	485770.5	Regulation of acrAp by DNA-binding transcriptional dual regulator MarA
Cra DNA-binding-site 15.5 bases upstream of nirBp	3493971.5d0	Regulation of nirBp by DNA-binding transcriptional dual regulator Cra
IHF DNA-binding-site 54 bases upstream of uspBp	3639902	Regulation of uspBp by DNA-binding transcriptional dual regulator IHF // Regulation of uspAp1 by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 37 bases downstream of gadBp2	1572036	Regulation of gadBp2 by DNA-binding transcriptional dual regulator Fis // Regulation of gadBp by DNA-binding transcriptional dual regulator Fis
Fnr DNA-binding-site regulating idlPp		Regulation of idlPp by DNA-binding transcriptional dual regulator FNR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of tsxp2	432131.5	Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GlaR DNA-binding-site regulating ycgV	1256363	Regulation of ycgV by DNA-binding transcriptional repressor GlaR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of uidAp	1696241.5	Regulation of uidAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GlaR DNA-binding-site regulating yodB	2041857	Regulation of yodB by DNA-binding transcriptional repressor GlaR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 6.5 bases downstream of ampD	118708.5	Regulation of ampD by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of nadCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NimR DNA-binding-site 29.5 bases upstream of nimRp	1875629.5	Regulation of nimRp by DNA-binding transcriptional repressor NimR // Regulation of nimTp by DNA-binding transcriptional repressor NimR
TyrR-tyr DNA-binding-site 31 bases downstream of aroLp1	406310	Regulation of aroLp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine
CspA DNA-binding-site 88 bases upstream of gyrAp	2339545	Regulation of gyrAp by cold shock protein CspA
Nac DNA-binding-site regulating yafC	231023	Regulation of yafD by DNA-binding transcriptional dual regulator Nac // Regulation of yafC by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 402.5 bases upstream of fumAp	1688842.5	Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CecR DNA-binding-site regulating rhlE	830667.5	Regulation of rhlE by DNA-binding transcriptional dual regulator CecR // Regulation of cecRp by DNA-binding transcriptional dual regulator CecR
Fis DNA-binding-site 50 bases upstream of rnpBp	3270642	Regulation of rnpBp by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 4 bases upstream of plaRp	3742622	Regulation of plaRp by DNA-binding transcriptional dual regulator IHF
Lrp-leu DNA-binding-site 120 bases upstream of yeiLp	2255170	Regulation of yeiLp by DNA-binding transcriptional dual regulator Lrp-L-leucine
BaeR-Pasp61 DNA-binding-site 27.5 bases upstream of mdtAp	2153951.5	Regulation of mdtAp by DNA-binding transcriptional activator BaeR-phosphorylated
SdiA DNA-binding-site regulating rmfp		Regulation of rmfp by DNA-binding transcriptional dual regulator SdiA
GalR-galactose DNA-binding-site 243.5 bases upstream of galPp	3088011.5	Regulation of galPp by GalR-D-galactose
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of crpp1	3485893.5d0	Regulation of crpp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of yhfAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fnr DNA-binding-site 39.5 bases upstream of moaAp1	816787.5	Regulation of moaAp1 by DNA-binding transcriptional dual regulator FNR
MarA DNA-binding-site 54 bases upstream of zwfp	1936430	Regulation of zwfp by DNA-binding transcriptional dual regulator MarA
NagC DNA-binding-site 14 bases upstream of dinIp	1121523	Regulation of dinIp by DNA-binding transcriptional dual regulator NagC
PhoB-Pasp53 DNA-binding-site regulating yhjCp		Regulation of yhjCp by DNA-binding transcriptional dual regulator PhoB-phosphorylated
CreB-Pasp54 DNA-binding-site 18.5 bases downstream of malEp	4246446.5	Regulation of malEp by DNA-binding transcriptional regulator CreB-phosphorylated
Fnr DNA-binding-site 96.5 bases upstream of cydAp4	771116.5d0	Regulation of cydAp4 by DNA-binding transcriptional dual regulator FNR // Regulation of cydAp3 by DNA-binding transcriptional dual regulator FNR // Regulation of cydAp1 by DNA-binding transcriptional dual regulator FNR // Regulation of cydAp2 by DNA-binding transcriptional dual regulator FNR
Fis DNA-binding-site 43 bases upstream of narKp1	1277889	Regulation of narKp1 by DNA-binding transcriptional dual regulator Fis
IHF DNA-binding-site 80 bases upstream of paaZp	1453750	Regulation of paaZp by DNA-binding transcriptional dual regulator IHF // Regulation of paaAp by DNA-binding transcriptional dual regulator IHF
OxyR DNA-binding-site 105 bases upstream of fhuFp1	4605799	Regulation of fhuFp1 by DNA-binding transcriptional dual regulator OxyR
DpiA-Pasp DNA-binding-site 146 bases downstream of dpiBp1	652129	Regulation of dpiBp1 by DNA-binding transcriptional dual regulator DpiA-phosphorylated // Regulation of citCp1 by DNA-binding transcriptional dual regulator DpiA-phosphorylated // Regulation of citCp2 by DNA-binding transcriptional dual regulator DpiA-phosphorylated
OxyR DNA-binding-site 9.5 bases downstream of ychFp	1257873.5	Regulation of ychFp by DNA-binding transcriptional dual regulator OxyR
H-NS DNA-binding-site 143.5 bases upstream of cspAp1	3719745.5	Regulation of cspAp1 by DNA-binding transcriptional dual regulator H-NS
NsrR DNA-binding-site 2 bases downstream of feaRp2	1447308	Regulation of feaRp2 by DNA-binding transcriptional dual regulator NsrR
NarL-Pasp59 DNA-binding-site 124 bases upstream of fdnGp	1547248	Regulation of fdnGp by DNA-binding transcriptional dual regulator NarL-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of tnaCp	3888351.5d0	Regulation of tnaCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
