Gene ID (EcoCyc),Gene name,Enzyme encoded,Pathways,Pathways parent,Protein products,Reactions
EG10064,argB,ACETYLGLUTKIN-CPLX,GLUTORN-PWY,L-Ornithine-Biosynthesis,ACETYLGLUTKIN-MONOMER,['ACETYLGLUTKIN-RXN']
EG10065,argC,N-ACETYLGLUTPREDUCT-MONOMER,GLUTORN-PWY,L-Ornithine-Biosynthesis,N-ACETYLGLUTPREDUCT-MONOMER,['N-ACETYLGLUTPREDUCT-RXN']
EG10066,argD,ACETYLORNTRANSAM-CPLX,"['GLUTORN-PWY', 'DAPLYSINESYN-PWY']","['L-Ornithine-Biosynthesis', 'LYSINE-SYN']",ACETYLORNTRANSAM-MONOMER,"['ACETYLORNTRANSAM-RXN', 'SUCCINYLDIAMINOPIMTRANS-RXN']"
EG11286,argE,ACETYLORNDEACET-CPLX,GLUTORN-PWY,L-Ornithine-Biosynthesis,ACETYLORNDEACET-MONOMER,['ACETYLORNDEACET-RXN']
EG10067,argF,ORNCARBAMTRANSFERF-CPLX,ARGSYN-PWY,"['ARGININE-SYN', 'Super-Pathways']",CHAINF-MONOMER,['ORNCARBAMTRANSFER-RXN']
EG10068,argG,CPLX0-238,ARGSYN-PWY,"['ARGININE-SYN', 'Super-Pathways']",ARGSUCCINSYN-MONOMER,['ARGSUCCINSYN-RXN']
EG11223,argH,ARGSUCCINLYA-MONOMER,ARGSYN-PWY,"['ARGININE-SYN', 'Super-Pathways']",ARGSUCCINLYA-MONOMER,['ARGSUCCINLYA-RXN']
EG10069,argI,ORNCARBAMTRANSFERI-CPLX,ARGSYN-PWY,"['ARGININE-SYN', 'Super-Pathways']",CHAINI-MONOMER,['ORNCARBAMTRANSFER-RXN']
EG11159,argO,YGGA-MONOMER,,,YGGA-MONOMER,"['RXN66-448', 'TRANS-RXN-325']"
EG10072,argT,ABC-3-CPLX,,,ARGT-MONOMER,"['ABC-37-RXN', 'ABC-4-RXN', 'ABC-3-RXN']"
EG10073,aroA,AROA-MONOMER,PWY-6163,Chorismate-Biosynthesis,AROA-MONOMER,['2.5.1.19-RXN']
EG10074,aroB,AROB-MONOMER,PWY-6164,3-Dehydroquinate-Biosynthesis,AROB-MONOMER,"['3-DEHYDROQUINATE-SYNTHASE-RXN', 'RXN-20673', 'RXN-20674']"
EG10075,aroC,AROC-CPLX,PWY-6163,Chorismate-Biosynthesis,AROC-MONOMER,['CHORISMATE-SYNTHASE-RXN']
EG10076,aroD,AROD-CPLX,PWY-6163,Chorismate-Biosynthesis,AROD-MONOMER,['3-DEHYDROQUINATE-DEHYDRATASE-RXN']
EG10077,aroE,AROE-MONOMER,PWY-6163,Chorismate-Biosynthesis,AROE-MONOMER,['SHIKIMATE-5-DEHYDROGENASE-RXN']
EG10078,aroF,AROF-CPLX,PWY-6164,3-Dehydroquinate-Biosynthesis,AROF-MONOMER,['DAHPSYN-RXN']
EG10079,aroG,AROG-CPLX,PWY-6164,3-Dehydroquinate-Biosynthesis,AROG-MONOMER,['DAHPSYN-RXN']
EG10080,aroH,AROH-CPLX,PWY-6164,3-Dehydroquinate-Biosynthesis,AROH-MONOMER,['DAHPSYN-RXN']
EG10081,aroK,AROK-MONOMER,PWY-6163,Chorismate-Biosynthesis,AROK-MONOMER,['SHIKIMATE-KINASE-RXN']
EG10082,aroL,AROL-MONOMER,PWY-6163,Chorismate-Biosynthesis,AROL-MONOMER,['SHIKIMATE-KINASE-RXN']
EG10084,aroP,AROP-MONOMER,,,AROP-MONOMER,"['TRANS-RXN-76', 'TRANS-RXN-77', 'TRANS-RXN-56']"
EG12236,arsB,CPLX-7,PWY-4621-1,Arsenate-Detoxification,ARSF-MONOMER,"['RXN3O-9786', 'RXN-22385']"
EG12237,arsC,EG12237-MONOMER,PWY-4621-1,Arsenate-Detoxification,EG12237-MONOMER,"['RXN-982', 'RXN-21024', 'RXN-21025', 'RXN-21026', 'RXN-21027']"
EG11628,artJ,ABC-4-CPLX,,,ARTJ-MONOMER,['ABC-4-RXN']
EG11627,artM,ABC-4-CPLX,,,ARTM-MONOMER,['ABC-4-RXN']
EG11624,artP,ABC-4-CPLX,,,ARTP-MONOMER,['ABC-4-RXN']
EG11626,artQ,ABC-4-CPLX,,,ARTQ-MONOMER,['ABC-4-RXN']
EG10086,ascF,CPLX-153,,,ASCF-MONOMER,"['TRANS-RXN-155', 'TRANS-RXN-153A', 'TRANS-RXN-153']"
EG10088,asd,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,"['HOMOSERSYN-PWY', 'DAPLYSINESYN-PWY']","['Other-Amino-Acid-Biosynthesis', 'LYSINE-SYN']",ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,['ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN']
EG10091,asnA,ASNSYNA-CPLX,ASPARAGINESYN-PWY,ASPARAGINE-SYN,ASNSYNA-MONOMER,['ASNSYNA-RXN']
EG10092,asnB,ASNSYNB-CPLX,"['ASPARAGINE-BIOSYNTHESIS', 'ASPARAGINESYN-PWY', 'GLUTAMINDEG-PWY', 'AMMASSIM-PWY']","['ASPARAGINE-SYN', 'ASPARAGINE-SYN', 'GLUTAMINE-DEG', 'Ammonia-Assimilation']",ASNSYNB-MONOMER,"['ASNSYNB-RXN', 'RXN-22734', 'ASNSYNA-RXN', 'GLUTAMIN-RXN']"
EG10095,aspA,ASPARTASE-CPLX,"['GLUTDEG-PWY', 'ASPASN-PWY', 'PWY-8291', 'PWY-8294']","['GLUTAMATE-DEG', 'IND-AMINO-ACID-SYN', 'Super-Pathways', 'ASPARTATE-DEG', 'ASPARTATE-DEG']",ASPARTASE-MONOMER,['ASPARTASE-RXN']
EG10096,aspC,ASPAMINOTRANS-DIMER,"['ASPARTATESYN-PWY', 'GLUTDEG-PWY', 'PHESYN', 'TYRSYN', 'PWY-5329']","['ASPARTATE-SYN', 'GLUTAMATE-DEG', 'PHENYLALANINE-SYN', 'TYROSINE-SYN', 'CYSTEINE-DEG', 'Hydrogen-Sulfide-Biosynthesis']",ASPAMINOTRANS-MONOMER,"['ASPAMINOTRANS-RXN', 'RXN-10814', 'TYROSINE-AMINOTRANSFERASE-RXN', 'RXN-21858', '2.6.1.7-RXN', 'CYSTEINE-AMINOTRANSFERASE-RXN']"
G6943,astA,ARGSUCCTRAN-MONOMER,AST-PWY,ARGININE-DEG,ARGSUCCTRAN-MONOMER,['ARGININE-N-SUCCINYLTRANSFERASE-RXN']
G6941,astB,CPLX0-7947,AST-PWY,ARGININE-DEG,SUCCARGDIHYDRO-MONOMER,['SUCCARGDIHYDRO-RXN']
G6944,astC,SUCCORNTRANSAM-CPLX,AST-PWY,ARGININE-DEG,SUCCORNTRANSAM-MONOMER,"['SUCCORNTRANSAM-RXN', 'ACETYLORNTRANSAM-RXN']"
G6942,astD,SUCCGLUALDDEHYD-MONOMER,AST-PWY,ARGININE-DEG,SUCCGLUALDDEHYD-MONOMER,['SUCCGLUALDDEHYD-RXN']
G6940,astE,SUCCGLUDESUCC-MONOMER,AST-PWY,ARGININE-DEG,SUCCGLUDESUCC-MONOMER,['SUCCGLUDESUCC-RXN']
EG11670,atoA,ACETOACETYL-COA-TRANSFER-CPLX,ACETOACETATE-DEG-PWY,Other-Degradation,ATOA-MONOMER,['ACETOACETYL-COA-TRANSFER-RXN']
EG11672,atoB,ACETYL-COA-ACETYLTRANSFER-CPLX,"['ACETOACETATE-DEG-PWY', 'PWY0-1337']","['Other-Degradation', 'Fatty-Acid-Degradation']",ACETYL-COA-ACETYLTRANSFER-MONOMER,"['ACETYL-COA-ACETYLTRANSFER-RXN', 'RXN-20154', 'RXN-20155']"
EG11669,atoD,ACETOACETYL-COA-TRANSFER-CPLX,ACETOACETATE-DEG-PWY,Other-Degradation,ATOD-MONOMER,['ACETOACETYL-COA-TRANSFER-RXN']
EG11671,atoE,EG11671-MONOMER,,,EG11671-MONOMER,['TRANS-RXN0-281']
EG10098,atpA,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPA-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10099,atpB,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPB-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10100,atpC,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPC-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10101,atpD,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPD-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10102,atpE,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPE-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10103,atpF,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPF-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10104,atpG,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPG-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10105,atpH,ATPSYN-CPLX,PWY-7980,Energy-Metabolism,ATPH-MONOMER,"['ATPSYN-RXN', 'RXN0-7041']"
EG10107,avtA,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,ALANINE-VALINESYN-PWY,ALANINE-SYN,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,"['VALINE-PYRUVATE-AMINOTRANSFER-RXN', 'RXN0-5200']"
EG11665,bacA,EG11665-MONOMER,PWY-5785,"['Lipid-Anchor-Biosynthesis', 'Polyprenyl-Biosynthesis']",EG11665-MONOMER,"['UNDECAPRENYL-DIPHOSPHATASE-RXN', 'RXN-11776']"
EG10108,bcp,EG10108-MONOMER,,,EG10108-MONOMER,"['1.11.1.15-RXN', 'RXN-19953', 'RXN-19954', 'RXN0-5468']"
EG10109,betA,CHD-MONOMER,BETSYN-PWY,Betaine-Biosynthesis,CHD-MONOMER,"['CHD-RXN', 'RXN0-7230', 'RXN0-7231']"
EG10110,betB,BADH-CPLX,BETSYN-PWY,Betaine-Biosynthesis,BADH-MONOMER,['BADH-RXN']
EG10112,betT,BETT-MONOMER,,,BETT-MONOMER,['TRANS-RXN-99']
G495,bglA,G495-MONOMER,,,G495-MONOMER,"['RXN0-5295', 'RXN0-6994']"
EG10114,bglB,EG10114-MONOMER,,,EG10114-MONOMER,"['RXN0-5297', 'RXN0-5295', '6-PHOSPHO-BETA-GLUCOSIDASE-RXN']"
EG10115,bglF,CPLX-154,,,BGLF-MONOMER,"['TRANS-RXN0-518', 'TRANS-RXN-153', 'TRANS-RXN-153A', 'TRANS-RXN-157']"
EG12013,bglX,EG12013-MONOMER,BGALACT-PWY,LACTOSE-DEG,EG12013-MONOMER,"['RXN-24169', 'RXN-24170', 'RXN-14722', 'BETAGALACTOSID-RXN']"
EG10117,bioA,DAPASYN-CPLX,PWY0-1507,BIOTIN-SYN,DAPASYN-MONOMER,['DAPASYN-RXN']
EG10118,bioB,BIOTIN-SYN-CPLX,PWY0-1507,BIOTIN-SYN,BIOTIN-SYN-MONOMER,"['2.8.1.6-RXN', 'RXN-17472', 'RXN-17473']"
EG10119,bioC,EG10119-MONOMER,PWY-6519,7-Keto-8-aminopelargonate-Biosynthesis,EG10119-MONOMER,['RXN-11475']
EG10120,bioD,DETHIOBIOTIN-SYN-CPLX,PWY0-1507,BIOTIN-SYN,DETHIOBIOTIN-SYN-MONOMER,"['DETHIOBIOTIN-SYN-RXN', 'RXN1ZN3-9', 'RXN1ZN3-10']"
EG10121,bioF,7KAPSYN-CPLX,PWY-6519,7-Keto-8-aminopelargonate-Biosynthesis,7KAPSYN-MONOMER,"['RXN-11484', '7KAPSYN-RXN']"
EG10122,bioH,EG10122-MONOMER,PWY-6519,7-Keto-8-aminopelargonate-Biosynthesis,EG10122-MONOMER,"['RXN-11483', 'ACETYLESTERASE-RXN', 'CARBOXYLESTERASE-RXN']"
EG10124,bisC,EG10124-MONOMER,,,EG10124-MONOMER,"['1.8.4.13-RXN', 'RXN0-6277']"
EG10126,btuB,CPLX0-1924,,,EG10126-MONOMER,"['RXN0-1565', 'TRANS-RXN0-283', 'TRANS-RXN-1592']"
EG10127,btuC,ABC-5-CPLX,,,BTUC-MONOMER,"['ABC-5-RXN', 'TRANS-RXN-296']"
EG10128,btuD,ABC-5-CPLX,,,BTUD-MONOMER,"['ABC-5-RXN', 'TRANS-RXN-296']"
EG10129,btuE,BTUE-MONOMER,,,BTUE-MONOMER,"['RXN0-267', 'RXN-22618', 'RXN-22616', 'GLUTATHIONE-PEROXIDASE-RXN']"
EG10130,btuR,COBALADENOSYLTRANS-MONOMER,"['PWY-7971', 'PWY-6268']","['B12-Salvage-From-Cobinamide', 'Cobamide-Salvage']",COBALADENOSYLTRANS-MONOMER,"['BTUR2-RXN', 'RXN-19342', 'RXN-19343', 'COBALADENOSYLTRANS-RXN']"
EG10131,cadA,LYSDECARBOX-CPLX,"['PWY0-1601', 'PWY0-461', 'PWY0-1303']","['Acid-Resistance', 'Polyamine-Biosynthesis', 'LYSINE-DEG', 'Polyamine-Biosynthesis']",LYSDECARBOX-MONOMER,['LYSDECARBOX-RXN']
EG10132,cadB,CADB-MONOMER,,,CADB-MONOMER,"['TRANS-RXN-68', 'TRANS-RXN0-212']"
EG11560,caiA,CROBETREDUCT-MONOMER,CARNMET-PWY,"['ANAEROBIC-RESPIRATION', 'CARN-DEG']",CROBETREDUCT-MONOMER,['CROBETREDUCT-RXN']
EG11559,caiB,CARNDEHYDRA-CPLX,CARNMET-PWY,"['ANAEROBIC-RESPIRATION', 'CARN-DEG']",CARNDEHYDRA-MONOMER,['RXN0-3601']
