Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Object ID
paaF	b1393	1457497	1458264	putative 2,3-dehydroadipyl-CoA hydratase	WELL-CHARACTERIZED	G6714
ycfZ	b1121	1180479	1181267	putative inner membrane protein YcfZ	UNCHARACTERIZED	G6578
insO	b4623			KpLE2 phage-like element; IS911B regulator fragment		G7904
sucB	b0727	761522	762739	dihydrolipoyl-[2-oxoglutarate dehydrogenase E2 subunit] // <i>S</i>-succinyldihydrolipoyl-[2-oxoglutarate dehydrogenase E2 subunit] // lipoyl-[2-oxoglutarate dehydrogenase E2 sbunit] // 2-oxoglutarate dehydrogenase E2 subunit	WELL-CHARACTERIZED	EG10980
ccmG	b2195	2292407	2292964	thiol:disulfide oxidoreductase CcmG	WELL-CHARACTERIZED	EG12053
ycbF	b0944	1003947	1004657	putative fimbrial chaperone YcbF	PARTIAL	EG12397
preT	b2146	2234033	2235271	dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreT	WELL-CHARACTERIZED	G7145
cdh	b3918	4109930	4110685	CDP-diacylglycerol diphosphatase	WELL-CHARACTERIZED	EG10138
ytgA	b4800	4486105	4486155	protein YtgA	UNCHARACTERIZED	G0-17046
yohK	b2142	2231019	2231714	putative 3-hydroxypropanoate export protein YohK	PARTIAL	EG12024
ybeU	b0648	679508	680215	DUF1266 domain-containing protein YbeU	UNCHARACTERIZED	G6355
anmK	b1640	1718493	1719602	anhydro-<i>N</i>-acetylmuramic acid kinase	WELL-CHARACTERIZED	G6880
entC	b0593	624885	626060	isochorismate synthase EntC	WELL-CHARACTERIZED	EG10261
iclR	b4018	4222804	4223628	DNA-binding transcriptional repressor IclR	WELL-CHARACTERIZED	EG10491
thrA	b0002	337	2799	fused aspartate kinase/homoserine dehydrogenase 1	WELL-CHARACTERIZED	EG10998
rpmI	b1717	1799802	1799999	50S ribosomal subunit protein L35	WELL-CHARACTERIZED	EG11231
nfi	b3998	4198790	4199461	endonuclease V	WELL-CHARACTERIZED	EG11915
pgpC	b2560	2697915	2698550	phosphatidylglycerophosphatase C	WELL-CHARACTERIZED	EG11371
gfcA	b0987	1049439	1049744	threonine-rich inner membrane protein GfcA	PARTIAL	G6508
rplJ	b3985	4179996	4180493	50S ribosomal subunit protein L10	WELL-CHARACTERIZED	EG10871
yheU	b3354	3484218	3484436	PF06794 family protein YheU	UNCHARACTERIZED	G7719
ybgU	b4735	754674	754781	protein YbgU	UNCHARACTERIZED	G0-16730
yljB	b4770	922740	922814	protein YljB	UNCHARACTERIZED	G0-17016
yibX	b4795	3797772	3798014	protein YibX-S // small protein YibX	UNCHARACTERIZED	G0-17041
yqgE	b2948	3092937	3093500	DUF179 domain-containing protein YqgE	PARTIAL	G7524
yeiR	b2173	2267829	2268815	zinc-binding GTPase YeiR	PARTIAL	EG12104
sdsR	b4433	1923104	1923207	small regulatory RNA SdsR	WELL-CHARACTERIZED	G0-8883
dsdC	b2364	2476694	2477629	DNA-binding transcriptional dual regulator DsdC	WELL-CHARACTERIZED	EG13161
fumD	b1675	1754932	1755141	fumarase D	WELL-CHARACTERIZED	G6903
cysZ	b2413	2531463	2532224	sulfate:H+ symporter	WELL-CHARACTERIZED	EG10003
yafQ	b0225	245961	246239	ribosome-dependent mRNA interferase toxin YafQ	WELL-CHARACTERIZED	G6109
ychF	b1203	1256721	1257812	redox-responsive ATPase YchF	WELL-CHARACTERIZED	EG11404
cheA	b1888	1973360	1975324	chemotaxis protein CheA // chemotaxis protein CheA(S)	WELL-CHARACTERIZED	EG10146
udk	b2066	2142307	2142948	uridine/cytidine kinase	WELL-CHARACTERIZED	EG11701
preA	b2147	2235265	2236500	dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreA	WELL-CHARACTERIZED	EG11289
essD	b0554	577398	577613	DLP12 prophage; putative phage lysis protein	PARTIAL	G6309
tfaQ	b1546	1634310	1634885	Qin prophage; putative tail fiber assembly protein TfaQ	PARTIAL	G6820
csgE	b1039	1102152	1102541	curli assembly component CsgE	PARTIAL	G6545
ycdY	b1035	1099640	1100194	chaperone protein YcdY	PARTIAL	G6541
gspC	b3324	3455578	3456393	type II secretion system protein GspC	WELL-CHARACTERIZED	G7702
yjeO	b4158	4385704	4386018	DUF2645 domain-containing inner membrane protein YjeO	UNCHARACTERIZED	G7839
ymiD	b4772	1344647	1344775	protein YmiD	UNCHARACTERIZED	G0-17018
alkB	b2212	2308691	2309341	DNA oxidative demethylase	WELL-CHARACTERIZED	EG10037
yigG	b3818	4002813	4003193	inner membrane protein YigG	UNCHARACTERIZED	EG11465
yagN	b0280	295139	295579	CP4-6 prophage; protein YagN	UNCHARACTERIZED	G6151
safA	b1500	1583762	1583959	two-component system connector SafA	WELL-CHARACTERIZED	G6790
insB3	b0274	290649	291152	IS1 protein InsB	UNCHARACTERIZED	G6145
ytiE	b4823	4568692	4568727	protein YtiE	UNCHARACTERIZED	G0-17097
nemA	b1650	1726659	1727756	<i>N</i>-ethylmaleimide reductase	WELL-CHARACTERIZED	G6890
ygjH	b3074	3220915	3221247	putative tRNA-binding protein YgjH	PARTIAL	G7597
moeB	b0826	864380	865129	molybdopterin synthase adenylyltransferase	WELL-CHARACTERIZED	EG10154
glgP	b3428	3564134	3566581	glycogen phosphorylase	WELL-CHARACTERIZED	EG10380
cynS	b0340	359489	359959	cyanase	WELL-CHARACTERIZED	EG10175
ilvI	b0077	85630	87354	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit	WELL-CHARACTERIZED	EG10500
csgF	b1038	1101711	1102127	curli assembly component CsgF	WELL-CHARACTERIZED	G6544
tapT	b2583	2719223	2719921	tRNA 3-amino-3-carboxypropyltransferase	WELL-CHARACTERIZED	G7349
bsmA	b4189	4416441	4416770	DUF1471 domain-containing putative lipoprotein BsmA	PARTIAL	G7852
btuB	b3966	4163639	4165483	cobalamin outer membrane transporter	WELL-CHARACTERIZED	EG10126
rutE	b1008	1070365	1070955	probable malonic semialdehyde reductase	WELL-CHARACTERIZED	G6519
selU	b0503	530132	531226	tRNA 2-selenouridine synthase	WELL-CHARACTERIZED	EG11768
eutP	b2461	2574978	2575457	putative ethanolamine utilization acetate kinase EutP	PARTIAL	G7291
sibD	b4447	3194721	3194865	small RNA SibD	PARTIAL	G0-8913
yqeB	b2875	3012614	3014239	XdhC-CoxI family protein YqeB	UNCHARACTERIZED	G7494
yfaQ	b2226	2328148	2329797	tandem DUF2300 domain-containing protein YfaQ	UNCHARACTERIZED	G7153
digH	b1491	1567504	1568823	divisome localized glycosyl hydrolase	WELL-CHARACTERIZED	G6785
ybhP	b0790	823736	824497	endonuclease/exonuclease/phosphatase domain-containing protein YbhP	PARTIAL	G6407
cysN	b2751	2873992	2875419	sulfate adenylyltransferase subunit 1	WELL-CHARACTERIZED	EG10194
mdtL	b3710	3891615	3892790	efflux pump MdtL	PARTIAL	EG11720
ygeK	b2855	2994460	2994903	putative DNA-binding transcriptional regulator YgeK		G7475
cheR	b1884	1968504	1969364	chemotaxis protein methyltransferase	WELL-CHARACTERIZED	EG10148
yfcR	b2335	2451072	2451584	putative fimbrial protein YfcR	PARTIAL	G7206
glrK	b2556	2689671	2691098	GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK	WELL-CHARACTERIZED	G7345
maeA	b1479	1553972	1555669	malate dehydrogenase (oxaloacetate-decarboxylating)	WELL-CHARACTERIZED	EG10948
fruA	b2167	2259719	2261410	fructose-specific PTS multiphosphoryl transfer protein FruA	WELL-CHARACTERIZED	EG10336
yggU	b2953	3096383	3096673	DUF167 domain-containing protein YggU	UNCHARACTERIZED	G7529
secM	b0097	107705	108217	SecA translation regulator	WELL-CHARACTERIZED	EG11087
ttdB	b3062	3207371	3207976	L(+)-tartrate dehydratase subunit &beta;	WELL-CHARACTERIZED	EG11169
yfbP	b2275	2389116	2389964	uncharacterized protein YfbP	UNCHARACTERIZED	G7182
rpsN	b3307	3446579	3446884	30S ribosomal subunit protein S14	WELL-CHARACTERIZED	EG10913
yqfE	b2915	3059381	3059611	putative protein YqfE		G7515
rsmH	b0082	90094	91035	16S rRNA m<sup>4</sup>C1402 methyltransferase	WELL-CHARACTERIZED	EG11085
yfaT	b2229	2334336	2334959	DUF1175 domain-containing protein YfaT	UNCHARACTERIZED	G7156
yhfL	b3369	3499448	3499615	DUF4223 domain-containing lipoprotein YhfL	UNCHARACTERIZED	G7722
dcuB	b4123	4347404	4348744	anaerobic C4-dicarboxylate transporter DcuB	WELL-CHARACTERIZED	EG10006
rpsL	b3342	3474178	3474552	30S ribosomal subunit protein S12	WELL-CHARACTERIZED	EG10911
ecpB	b0292	309358	310026	putative fimbrial chaperone EcpB	PARTIAL	G6163
yliI	b0837	878742	879857	aldose sugar dehydrogenase YliI	PARTIAL	G6437
pldB	b3825	4009170	4010192	lysophospholipase L2	WELL-CHARACTERIZED	EG10739
ycjO	b1311	1373222	1374103	putative ABC transporter membrane subunit YcjO	PARTIAL	G6649
glxR	b0509	536586	537464	tartronate semialdehyde reductase 2	WELL-CHARACTERIZED	G6278
nusG	b3982	4177743	4178288	transcription termination/antitermination factor NusG	PARTIAL	EG10667
tldE	b4235	4457959	4459311	metalloprotease subunit TldE	WELL-CHARACTERIZED	EG10741
panF	b3258	3407607	3409058	pantothenate:Na+ symporter	WELL-CHARACTERIZED	EG10685
ybeF	b0629	660425	661378	putative DNA-binding transcriptional regulator YbeF	PARTIAL	EG11594
baeR	b2079	2164276	2164998	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR	WELL-CHARACTERIZED	EG11618
yjgX	b4575	4499593	4500791	KpLE2 phage-like element; putative phosphoethanolamine transferase YjgX, N-terminal fragment		G7898
rapZ	b3205	3347115	3347969	RNase adaptor protein RapZ	WELL-CHARACTERIZED	EG12146
xerD	b2894	3038847	3039743	site-specific recombinase	WELL-CHARACTERIZED	EG11071
pinQ	b1545	1633622	1634212	Qin prophage; putative recombinase PinQ	PARTIAL	G6819
argZ	b2692	2818059	2818135	tRNA-Arg(ACG)	WELL-CHARACTERIZED	EG30019
fcl	b2052	2126225	2127190	GDP-L-fucose synthase	WELL-CHARACTERIZED	EG11788
yfiE	b2577	2714439	2715320	putative LysR-type DNA-binding transcriptional regulator YfiE	PARTIAL	EG11785
tsuB	b2012	2084226	2084453	putative thiosulfate sulfurtransferase	PARTIAL	EG11894
ybjN	b0853	892957	893433	protein YbjN	UNCHARACTERIZED	G6447
cynR	b0338	357791	358690	DNA-binding transcriptional dual regulator CynR	WELL-CHARACTERIZED	EG11421
acrF	b3266	3415033	3418137	multidrug efflux pump RND permease AcrF	WELL-CHARACTERIZED	EG10267
letB	b1834	1917510	1920143	lipophilic envelope spanning tunnel	PARTIAL	G7007
narY	b1467	1537309	1538853	nitrate reductase Z subunit &beta;	WELL-CHARACTERIZED	EG10647
qseG	b2555	2688793	2689506	outer membrane lipoprotein QseG	UNCHARACTERIZED	EG12139
mdtN	b4082	4303078	4304109	putative multidrug efflux pump membrane fusion protein	WELL-CHARACTERIZED	EG11954
casA	b2760	2882630	2884138	type I-E CRISPR system Cascade subunit CasA	WELL-CHARACTERIZED	G7430
arnT	b2257	2370908	2372560	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	WELL-CHARACTERIZED	G7170
fucI	b2802	2935584	2937359	L-fucose isomerase	WELL-CHARACTERIZED	EG10349
xdhA	b2866	3000345	3002603	putative xanthine dehydrogenase molybdenum-binding subunit XdhA	WELL-CHARACTERIZED	G7485
emtA	b1193	1243180	1243791	lytic murein transglycosylase E	WELL-CHARACTERIZED	G6622
chbB	b1738	1821299	1821619	<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component	WELL-CHARACTERIZED	EG10140
cnu	b1625	1704949	1705164	H-NS- and StpA-binding protein	PARTIAL	G6869
ispG	b2515	2640686	2641804	(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	WELL-CHARACTERIZED	EG10370
btuR	b1270	1327767	1328357	cobinamide/cobalamin adenosyltransferase	PARTIAL	EG10130
sdhD	b0722	755560	755907	succinate:quinone oxidoreductase, membrane protein SdhD	WELL-CHARACTERIZED	EG10934
hipH	b4385	4621769	4623100	toxin YjjJ phosphorylated // serine/threonine-protein kinase toxin HipH	PARTIAL	EG12342
cusC	b0572	595600	596973	copper/silver export system outer membrane channel	WELL-CHARACTERIZED	G6320
dhaR	b1201	1251066	1252985	DNA-binding transcriptional dual regulator DhaR	PARTIAL	G6628
insH9	b2982	3130214	3131194	IS<i>5</i> transposase and trans-activator	PARTIAL	G7548
aroG	b0754	785633	786685	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	WELL-CHARACTERIZED	EG10079
yoeB	b4539	2089211	2089465	ribosome-dependent mRNA interferase toxin YoeB	WELL-CHARACTERIZED	G0-9121
rrfF	b3272	3423423	3423542	5S ribosomal RNA	WELL-CHARACTERIZED	EG30091
bcsB	b3532	3690268	3692607	cellulose synthase periplasmic subunit	PARTIAL	EG12259
hypT	b4327	4557378	4558289	DNA-binding transcriptional dual regulator HypT	WELL-CHARACTERIZED	G7924
C0299		1230629	1230707			G0-8898
xdhC	b2868	3003489	3003968	putative xanthine dehydrogenase [Fe-S]-binding subunit XdhC	WELL-CHARACTERIZED	G7487
ybcV	b0558	579184	579594	DLP12 prophage; DUF1398 domain-containing protein YbcV	UNCHARACTERIZED	G6313
gfcC	b0985	1047945	1048691	capsule biosynthesis GfcC family protein	PARTIAL	G6506
rlmD	b2785	2913699	2915000	23S rRNA m<sup>5</sup>U1939 methyltransferase	WELL-CHARACTERIZED	EG11247
ybeY	b0659	691874	692341	endoribonuclease YbeY	WELL-CHARACTERIZED	G6362
pphA	b1838	1922313	1922969	phosphoprotein phosphatase 1	WELL-CHARACTERIZED	G7011
sfmH	b0533	562336	563319	putative fimbrial adhesin protein SfmH	PARTIAL	G6293
ybeQ	b0644	675570	676547	Sel1 repeat-containing protein YbeQ	PARTIAL	G6351
hcaF	b2539	2670390	2670908	putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;	WELL-CHARACTERIZED	M015
ssuC	b0934	994041	994832	aliphatic sulfonate ABC transporter membrane subunit	WELL-CHARACTERIZED	G6476
patA	b3073	3219494	3220873	putrescine aminotransferase	WELL-CHARACTERIZED	G7596
ggt	b3447	3585081	3586823	glutathione hydrolase, small subunit // glutathione hydrolase, large subunit // glutathione hydrolase proenzyme	WELL-CHARACTERIZED	EG10374
ribA	b1277	1338570	1339160	GTP cyclohydrolase 2	WELL-CHARACTERIZED	EG11331
yfcG	b2302	2420621	2421268	disulfide bond oxidoreductase YfcG	WELL-CHARACTERIZED	G7194
ytfR	b4485	4451058	4452560	galactofuranose ABC transporter putative ATP binding subunit	PARTIAL	EG12518
ycjV	b1318	1380821	1381789	putative ABC transporter ATP-binding protein YcjV		G6656
epmB	b4146	4374629	4375657	lysine 2,3-aminomutase	PARTIAL	G7836
yggL	b2959	3101807	3102133	putative ribosome assembly factor YggL	WELL-CHARACTERIZED	EG12443
yafX	b0248	264748	265206	CP4-6 prophage; protein YafX	UNCHARACTERIZED	G6123
ghrA	b1033	1097886	1098824	glyoxylate/hydroxypyruvate reductase A	WELL-CHARACTERIZED	G6539
alaT	b3853	4037260	4037335	L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)	WELL-CHARACTERIZED	EG30008
eamA	b1533	1620238	1621137	cysteine/<i>O</i>-acetylserine exporter EamA	WELL-CHARACTERIZED	EG11639
nuoB	b2287	2403951	2404613	NADH:quinone oxidoreductase subunit B	WELL-CHARACTERIZED	EG12083
ybgI	b0710	742827	743570	radiation resistance protein YbgI	WELL-CHARACTERIZED	G6379
ygiB	b3037	3179744	3180415	DUF1190 domain-containing protein YgiB	UNCHARACTERIZED	EG11164
yehF	b2115	2196474	2197298	PF05406 family protein YehF	UNCHARACTERIZED	EG11992
rlmF	b0807	842332	843258	23S rRNA m<sup>6</sup>A1618 methyltransferase	WELL-CHARACTERIZED	G6416
ryfD	b4609	2734153	2734295	small regulatory RNA RyfD	PARTIAL	G0-10600
ligA	b2411	2528161	2530176	DNA ligase	WELL-CHARACTERIZED	EG10534
can	b0126	142008	142670	carbonic anhydrase 2	WELL-CHARACTERIZED	EG12319
lolD	b1117	1176619	1177320	lipoprotein release complex - ATP binding subunit	WELL-CHARACTERIZED	G6574
metK	b2942	3086706	3087860	methionine adenosyltransferase	WELL-CHARACTERIZED	EG10589
asnW	b1984	2058027	2058102	tRNA-Asn(GUU)	WELL-CHARACTERIZED	G7069
motB	b1889	1975329	1976255	motility protein B	PARTIAL	EG10602
ispZ	b4809	194784	194844	small regulatory RNA IspZ	WELL-CHARACTERIZED	G0-17084
shoB	b4687	2700117	2700197	toxic peptide ShoB	PARTIAL	G0-10634
smrB	b2331	2448606	2449157	ribosome rescue factor SmrB	WELL-CHARACTERIZED	G7202
proM	b3799	3982735	3982811	tRNA-Pro(UGG)	WELL-CHARACTERIZED	EG30068
ycjU	b1317	1380148	1380807	&beta;-phosphoglucomutase	WELL-CHARACTERIZED	G6655
hisM	b2307	2424517	2425233	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM	WELL-CHARACTERIZED	EG10007
dacD	b2010	2081381	2082547	D-alanyl-D-alanine carboxypeptidase DacD	WELL-CHARACTERIZED	EG11893
waaF	b3620	3794929	3795975	ADP-heptose&mdash;LPS heptosyltransferase 2	WELL-CHARACTERIZED	EG12210
dgcZ	b1535	1622960	1623850	diguanylate cyclase DgcZ	WELL-CHARACTERIZED	EG11643
ompL	b3875	4063603	4064295	putative outer membrane porin L	WELL-CHARACTERIZED	G7814
fumC	b1611	1685185	1686588	fumarase C	WELL-CHARACTERIZED	EG10358
insB1	b0021	19811	20314	IS1 family protein InsB	UNCHARACTERIZED	G6085
gcd	b0124	138835	141225	quinoprotein glucose dehydrogenase	WELL-CHARACTERIZED	EG10369
gor	b3500	3646299	3647651	glutathione reductase (NADPH)	PARTIAL	EG10412
yhaV	b3130	3277337	3277801	ribosome-dependent mRNA interferase toxin YhaV	WELL-CHARACTERIZED	G7629
hemD	b3804	3989088	3989828	uroporphyrinogen-III synthase	WELL-CHARACTERIZED	EG10430
deoC	b4381	4617323	4618102	deoxyribose-phosphate aldolase	WELL-CHARACTERIZED	EG10221
asmA	b2064	2139759	2141612	putative assembly protein AsmA	PARTIAL	EG11361
alaC	b2379	2497057	2498295	glutamate&mdash;pyruvate aminotransferase AlaC	WELL-CHARACTERIZED	G7242
rpsP	b2609	2745937	2746185	30S ribosomal subunit protein S16	WELL-CHARACTERIZED	EG10915
fnrS	b4699	1409129	1409250	small regulatory RNA FnrS	WELL-CHARACTERIZED	G0-10677
murI	b3967	4165428	4166285	glutamate racemase	WELL-CHARACTERIZED	EG11204
yjfN	b4188	4416017	4416292	protease activator YjfN	PARTIAL	G7851
hyuA	b2873	3010028	3011413	phenylhydantoinase	PARTIAL	G7492
eutS	b2462	2575470	2575805	putative ethanolamine catabolic microcompartment shell protein EutS	PARTIAL	G7292
gadF	b4718	3658992	3659082	small regulatory RNA GadF	WELL-CHARACTERIZED	G0-16680
waaO	b3627	3802039	3803058	UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase	WELL-CHARACTERIZED	EG11352
pntB	b1602	1674972	1676360	pyridine nucleotide transhydrogenase subunit &beta;	WELL-CHARACTERIZED	EG10745
btuF	b0158	177662	178462	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	EG12334
crl	b0240			RNA polymerase holoenzyme assembly factor Crl		EG11092
hyfC	b2483	2603847	2604794	hydrogenase 4 component C	PARTIAL	G7300
blr	b4409	1704551	1704676	&beta;-lactam resistance protein	PARTIAL	G0-9561
narS	b4813	1279337	1279520	putative small regulatory RNA NarS	PARTIAL	G0-17088
ybjJ	b0845	886131	887339	inner membrane protein YbjJ	UNCHARACTERIZED	G6443
tdcG	b4471	3258285	3259649	L-serine deaminase III	WELL-CHARACTERIZED	G7624
qmcA	b0489	514856	515773	PHB domain-containing protein QmcA	PARTIAL	G6265
insD5	b3045	3186510	3187415	IS2 insertion element protein InsB	UNCHARACTERIZED	G7584
bamA	b0177	197928	200360	outer membrane protein assembly factor BamA	WELL-CHARACTERIZED	G6093
yhdP	b4472	3392458	3396258	phospholipid transport factor YhdP	PARTIAL	G7690
ymdE	b1028	1095544	1095846	putative uncharacterized protein YmdE		G6535
ymfR	b1150	1205549	1205731	e14 prophage; IPR020297 domain-containing protein YmfR	UNCHARACTERIZED	G6594
chpS	b4224	4448447	4448698	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system	PARTIAL	EG11250
pflC	b3952	4146258	4147136	putative pyruvate formate-lyase 2 activating enzyme PflC	PARTIAL	EG11911
ymgI	b4593	1222990	1223163	uncharacterized protein YmgI	UNCHARACTERIZED	G0-10589
insF4	b1026	1094275	1095141	IS3 element protein InsF	UNCHARACTERIZED	G6533
tap	b1885	1969383	1970984	methyl-accepting chemotaxis protein Tap	WELL-CHARACTERIZED	EG10987
ilvD	b3771	3953478	3955328	dihydroxy-acid dehydratase	WELL-CHARACTERIZED	EG10496
exuR	b3094	3246652	3247428	DNA-binding transcriptional repressor ExuR	PARTIAL	EG12739
yhfY	b3382	3511060	3511422	PRD domain-containing protein YhfY	UNCHARACTERIZED	G7734
ychA	b1214	1267320	1268129	transglutaminase-like/TPR repeat-containing protein	UNCHARACTERIZED	EG11251
ybcY	b0562	582152	582806	DLP12 prophage; putative SAM-dependent methyltransferase YbcY		G6316
yicG	b3646	3818874	3819491	PF03458 family inner membrane protein YicG	UNCHARACTERIZED	EG11683
yphC	b2545	2674700	2675761	putative zinc-binding dehydrogenase YphC	PARTIAL	G7339
pxpA	b0713	745165	745899	5-oxoprolinase component A	PARTIAL	G6382
tusA	b3470	3608751	3608996	sulfurtransferase TusA	WELL-CHARACTERIZED	EG12216
yceI	b1056	1117901	1118476	protein YceI	UNCHARACTERIZED	EG11820
agaD	b3140	3285478	3286269	galactosamine-specific PTS enzyme IID component	WELL-CHARACTERIZED	G7635
rplP	b3313	3448759	3449169	50S ribosomal subunit protein L16	WELL-CHARACTERIZED	EG10877
ycjP	b1312	1374090	1374932	putative ABC transporter membrane subunit YcjP	PARTIAL	G6650
yjeI	b4144	4372809	4373162	DUF4156 domain-containing lipoprotein YjeI	PARTIAL	G7834
yidZ	b3711	3892765	3893724	DNA-binding transcriptional dual regulator YidZ	PARTIAL	EG11721
