Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
21,2259,33491525.2192982,1169295.37677506,3452679.90100138,16795662.2276034,4.83993845987584,3.35527535231434,1.00506884488747,-1.4846631075615,-3.83486961498836,-2.35020650742686,1.20492635797024e-05,0.000241824044219253,True,,,,,,,SPO2256,,,,1,SPO_RS11445,0.0,
22,3531,57869685.6671198,472314586.756848,89983933.9340462,114845010.61711,-3.02513424644987,-0.632273473186241,-0.903996507400812,2.39286077326363,2.12113773904906,-0.27172303421457,1.21870778346427e-05,0.000253339474896361,True,0.0138,,,0.0289,,,SPO3532,K02495,"Heme biosynthesis, plants and bacteria, glutamate => heme",Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase (HemN) (PDB:1OLT),1,SPO_RS17895,1.0,HEMN-RXN
23,1801,6372840.013388,48731624.1419865,20164676.819434,19613535.3839773,-2.93532941534672,-1.65843019720912,-1.57339301218922,1.2768992181376,1.36193640315749,0.0850371850198961,1.25402111322916e-05,0.000264854905573468,True,,,,,,,SPO1799,,,,1,SPO_RS09150,0.0,
24,1065,8440253.89509384,58243807.2820391,22541105.5963917,26165674.0558611,-2.79797907040819,-1.42755691778858,-1.60164063880697,1.3704221526196,1.19633843160122,-0.174083721018384,1.57366546277732e-05,0.000276370336250575,True,,,,,,,SPO1065,,,,1,SPO_RS05405,0.0,
25,3362,530428331.33425,836998067.151006,2605402714.84029,136617498.359238,-0.555557989954699,-2.29325050941355,2.10261441692474,-1.73769251945885,2.65817240687944,4.39586492633829,1.70567180616655e-05,0.000287885766927683,True,,0.0001,,0.0001,,,SPO3365,K11710,,"ABC-type Mn2+/Zn2+ transport system, ATPase component (ZnuC)",1,SPO_RS17045,0.0,
26,2265,32973954.2977731,2311577.5779132,6512810.00078912,19656655.8330668,3.8461829672808,2.34903698040821,0.779207977328123,-1.49714598687258,-3.06697498995267,-1.56982900308008,2.13417860647547e-05,0.00029940119760479,True,,,,,,,SPO2262,K06904,,Phage head maturation protease,1,SPO_RS11475,0.0,
27,3361,706727519.407439,894624709.922944,2747878540.9812,222021202.461246,-0.258825163468355,-1.96322034505942,1.79465451457551,-1.70439518159107,2.05347967804386,3.75787485963493,2.28964407699985e-05,0.000310916628281897,True,,0.0012,,0.0011,,,SPO3364,K11708,,"ABC-type Mn2+/Zn2+ transport system, permease component (ZnuB)",1,SPO_RS17040,0.0,
28,2261,16528289.0913725,1013492.93192695,3225452.70441762,9361994.83601556,4.03788270405094,2.36161812950623,0.847940660574774,-1.67626457454471,-3.18994204347617,-1.51367746893146,2.64202400971757e-05,0.000322432058959005,True,,,,,,,SPO2258,,,,1,SPO_RS11455,0.0,
29,2638,9165720.69304695,7269218.97683499,4404928.48767088,43800868.2815679,0.345122126048899,1.0692849269751,-2.24116605610131,0.724162800926208,-2.5862881821502,-3.31045098307641,2.65819805947625e-05,0.000333947489636112,True,,,,,,,SPO2643,,,,1,SPO_RS13405,0.0,
30,371,756413570.724446,96296950.1770341,95799706.8422548,300302573.873705,2.97633016888291,2.98350344356164,1.39805049905968,0.00717327467873474,-1.57827966982322,-1.58545294450196,2.77608318564525e-05,0.000345462920313219,True,0.0225,0.0176,,,,,SPO0371,K19732,,"DNA-binding transcriptional regulator, CsgD family (CsgD)",1,SPO_RS01880,0.0,
31,1504,80081382.236078,83809067.1485787,19009800.7660115,439078342.444204,-0.0644761042221269,2.07266089151755,-2.4689455238237,2.13713699573968,-2.40446941960157,-4.54160641534125,3.11817745804262e-05,0.000356978350990327,True,,,,,,,SPO1501,K06138,,"Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)",1,SPO_RS07645,0.0,
32,155,91178968.6150572,125032631.928033,525427041.852571,180382359.359655,-0.476814520106781,-2.540564811489,-0.962586159014588,-2.06375029138222,-0.485771638907806,1.57797865247441,3.21854184225937e-05,0.000368493781667434,True,,0.0324,,,,,SPO0157,K11089,,"Uncharacterized conserved protein, contains a von Willebrand factor type A (vWA) domain (ViaA)",1,SPO_RS00805,0.0,
33,3074,156896104.888746,18135656.3685271,23472557.5396551,73293706.8164973,3.10570768408186,2.7359874899826,1.11578695153718,-0.369720194099251,-1.98992073254467,-1.62020053844542,3.37277887618471e-05,0.000380009212344541,True,,,,,,,SPO3078,K04096,,Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake (Smf) (PDB:3MAJ),1,SPO_RS15595,0.0,
34,3778,272257859.184507,14089101.2520567,18940736.0318101,33449792.2998084,4.25186513906474,3.82543541294048,3.07912723539753,-0.426429726124265,-1.1727379036672,-0.746308177542943,4.1765889845567e-05,0.000391524643021649,True,,,,,,,SPO3776,K02034,,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)",1,SPO_RS19165,0.0,
35,2014,28475080.5632502,56440663.3609404,29778513.3035143,115262683.044216,-0.956700455332388,-0.0180679113538033,-2.01784480124998,0.938632543978585,-1.06114434591759,-1.99977688989618,4.55103203502287e-05,0.000403040073698756,True,,,,,,,SPO_tRNA-Arg-4,,,,1,SPO_RS10210,0.0,
36,2639,26503583.6252676,23420885.0308777,12191114.911613,110194841.018508,0.181060409570875,1.11820976082399,-2.04315209143048,0.937149351253115,-2.22421250100136,-3.16136185225447,4.57817866409678e-05,0.000414555504375863,True,,,0.0003,,,,SPO2644,K07161,,"Uncharacterized protein CoxE, contains von Willebrand factor type A (vWA) domain (CoxE)",1,SPO_RS13410,0.0,
37,1519,14042871.1754769,59966386.0951071,9635061.46071416,131089177.786584,-2.07963213046735,0.572812327702017,-3.21297741496763,2.65244445816937,-1.13334528450028,-3.78578974266965,4.69891696986363e-05,0.000426070935052971,True,,,,,,,SPO1516,,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)",1,SPO_RS07715,0.0,
38,2260,40312088.6750775,1626972.76856553,5169423.86348289,19906580.5975048,4.64446155952137,2.95196898903472,1.0271286518403,-1.69249257048664,-3.61733290768106,-1.92484033719442,4.76577629449757e-05,0.000437586365730078,True,,,,,,,SPO2257,,,"Phage tail protein, TP901-1 family (LmaA)",1,SPO_RS11450,0.0,
39,1505,84327331.3127646,88962377.7735164,31373395.9949001,493558715.206171,-0.083985703860808,1.43880273172588,-2.54380908491631,1.52278843558669,-2.45982338105551,-3.9826118166422,5.09632775646059e-05,0.000449101796407185,True,,,0.0032,,,,SPO1502,K06137,,Pyrroloquinoline quinone (PQQ) biosynthesis protein C (PqqC) (PDB:1OTV),1,SPO_RS07650,1.0,RXN-11181
40,3226,5044302.4355176,55417526.7375494,47908027.9021868,23452744.8831655,-3.48346140134982,-3.27405840326953,-2.19184208459019,0.209402998080285,1.29161931675962,1.08221631867933,5.17877843375709e-05,0.000460617227084292,True,0.0001,0.0002,0.0261,,,,SPO3230,K05825,,"DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain (ARO8) (PDB:2R2N)",1,SPO_RS16360,0.0,
41,1524,17141796.5582152,16384174.5307832,7516109.32887384,82698519.275064,0.0570352518560248,1.18308356264954,-2.26003407287762,1.12604831079352,-2.31706932473365,-3.44311763552717,5.56447157140726e-05,0.0004721326577614,True,,,,,,,SPO1521,K19339,,Polyferredoxin NapH (NapH) (PUBMED:27322068)!!!Transcriptional regulator NosR of nitric oxide reductase (NosR),1,SPO_RS07740,0.0,
42,1034,4003437.30994152,37689614.7473997,7558087.98381856,17039671.3180614,-3.30211931826262,-0.959177734477574,-2.14811645618844,2.34294158378504,1.15400286207417,-1.18893872171086,6.55263962628048e-05,0.000483648088438507,True,,,,,,,SPO_tRNA-Thr-2,,,,1,SPO_RS05210,0.0,
43,432,62329313.3506411,698197987.551182,122601337.259532,160226320.758988,-3.47971161410776,-0.976645853707921,-1.30444820014581,2.50306576039983,2.17526341396194,-0.327802346437895,6.73759274798838e-05,0.000495163519115614,True,,,,,,,SPO0432,K13771,,"DNA-binding transcriptional regulator, IscR family (IscR) (PDB:1XD7)",1,SPO_RS02185,0.0,
44,1089,44700997.6510313,1399497903.4445,158311307.512568,101698839.869743,-4.95106064878829,-1.82763069697599,-1.12760156741213,3.12342995181229,3.82345908137616,0.700029129563866,7.17158065545651e-05,0.000506678949792722,True,,,,0.0024,,,SPO1089,K09794,,"Uncharacterized conserved protein YdcH, DUF465 family (YdcH) (PDB:1ZHC)",1,SPO_RS05525,0.0,
45,1799,13530197.2536052,204932249.820391,49645895.0229351,66978106.4539382,-3.92506639268205,-1.86450837320143,-2.25276787264962,2.06055801948062,1.67229852003243,-0.388259499448192,7.2988013974624e-05,0.000518194380469829,True,,,,,,,SPO1797,,,,1,SPO_RS09140,0.0,
46,4295,33176049.6442344,6973065.03358469,6638432.90807719,15128283.7488077,2.2581349157584,2.32626161564213,1.20557531397194,0.0681266998837308,-1.05255960178645,-1.12068630167019,8.06031648226082e-05,0.000529709811146936,True,,,,,,,SPOA0398,,,,1,SPO_RS21850,0.0,
47,1515,24502024.348989,42588972.0911224,13789719.2417794,136835144.791162,-0.768709903895427,0.82935592676975,-2.4700720464599,1.59806583066517,-1.70136214256447,-3.29942797322965,0.0001067961551571,0.000541225241824044,True,,,,,,,SPO1512,,,,1,SPO_RS07695,0.0,
48,619,37133639.2840208,137057291.096489,62018472.6007841,137963126.00451,-1.88746059984563,-0.718064780792289,-1.88732005201674,1.16939581905334,0.00014054782888806,-1.16925527122445,0.000107649651461041,0.000552740672501151,True,,,,,,,SPO_tRNA-Gln-2,,,,1,SPO_RS03115,0.0,
49,1522,76893651.5215553,123963642.851889,47965815.4825756,388394635.090964,-0.685487786437825,0.672211189324055,-2.32540754027333,1.35769897576188,-1.63991975383551,-2.99761872959739,0.000112395803027244,0.000564256103178258,True,,,0.0004,,,,SPO1519,K03520,,"Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit (CoxL) (PDB:1DGJ) (PUBMED:10095793)",1,SPO_RS07730,0.0,
50,1523,52181598.7795575,64020268.7811221,30974170.1548856,188928123.966579,-0.286792265168831,0.735961665483426,-1.85862794159643,1.02275393065225,-1.5718356764276,-2.59458960707986,0.000123952107308597,0.000575771533855366,True,,,0.0007,,,,SPO1520,K03519,,"Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit (CutB) (PDB:5Y6Q)",1,SPO_RS07735,0.0,
51,1395,6650339.64676264,2276956.86958656,3211211.33897798,29004624.4136755,1.52536118319303,1.0427053433509,-2.12064004652094,-0.482655839842131,-3.64600122971398,-3.16334538987185,0.000134629029698183,0.000587286964532473,True,,,,,,,SPO1392,,,"Alkylhydroperoxidase family enzyme, contains CxxC motif (YciW) (PDB:1GU9)",1,SPO_RS07105,0.0,
52,1513,15067047.3528955,14001603.941372,10597664.4118861,59469801.538226,0.155350457409433,0.514212095641205,-1.96044827807378,0.358861638231772,-2.11579873548321,-2.47466037371498,0.000155269481859544,0.00059880239520958,True,,,,,,,SPO1510,,,"ABC-type multidrug transport system, permease component (YadH)",1,SPO_RS07685,0.0,
53,3360,582111667.459822,754066577.14745,1790422379.08012,208107234.406161,-0.292853855856641,-1.61589930312052,1.60900461559117,-1.32304544726387,1.90185847144781,3.22490391871169,0.000167096337401755,0.000610317825886688,True,,,,,,,SPO3363,K11709,,"ABC-type Mn2+/Zn2+ transport system, permease component (ZnuB)",1,SPO_RS17035,0.0,
54,1100,871783191.90394,282062130.208116,1464645898.25793,618152433.45136,1.66494464747238,-0.760915280008983,0.5056355048693,-2.42585992748136,-1.15930914260308,1.26655078487828,0.000168823474068609,0.000621833256563795,True,,,,,,,SPO1099,,,,0,,,
55,196,18583175.1709782,1751745.49016802,2720862.48368019,9676539.16007004,3.40892823720261,2.76970739463087,1.01605423408493,-0.639220842571745,-2.39287400311768,-1.75365316054593,0.000181989840248627,0.000633348687240902,True,,,,,,,SPO0198,,,Flagellar biosynthesis/type III secretory pathway protein FliH (FliH) (PDB:5B0O),1,SPO_RS01010,0.0,
56,2140,196911262.349953,290758329.33495,282332585.647113,752774606.004404,-0.601061136348541,-0.54495740858346,-1.98066849008115,0.0561037277650804,-1.3796073537326,-1.43571108149769,0.000212086048029453,0.00064486411791801,True,,,,,,,SPO_tRNA-Pro-4,,,,1,SPO_RS10840,0.0,
57,1516,18609055.1732364,40199695.9147337,13442571.2596791,129443169.110888,-1.10075114950227,0.468938521382103,-2.78076649551264,1.56968967088437,-1.68001534601037,-3.24970501689475,0.000224157990260687,0.000656379548595117,True,,,,,,,SPO1513,,,DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661),1,SPO_RS07700,0.0,
58,1517,18307170.8112363,36866300.2245932,17509246.518891,105771896.646885,-0.981914234538088,0.100608811345498,-2.51423256003245,1.08252304588358,-1.53231832549436,-2.61484137137794,0.000228933097805342,0.000667894979272224,True,,,,,,,SPO1514,,,"ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)",1,SPO_RS07705,0.0,
59,700,132228882.267864,922278954.837113,672412630.517205,424091907.734523,-2.79944072856755,-2.34655116887185,-1.60812459845486,0.452889559695698,1.19131613011268,0.738426570416983,0.000236984905761321,0.000679410409949332,True,0.0002,0.0022,,,,,SPO0701,K00134,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF),1,SPO_RS03540,1.0,GAPOXNPHOSPHN-RXN
60,1115,26352788.048075,3490174.35100269,3194517.91046301,11641637.5510132,2.90153203619098,3.03501290736683,1.22808064119938,0.133480871175848,-1.6734513949916,-1.80693226616745,0.000239229410403121,0.000690925840626439,True,,,,,,,SPO1114,K11690,,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)",1,SPO_RS05655,0.0,
61,3129,99940368.1720677,637696306.839645,125152857.121654,250895024.067994,-2.67423341022702,-0.330181586008613,-1.26951421849377,2.34405182421841,1.40471919173325,-0.939332632485157,0.00026557001916835,0.000702441271303546,True,0.0006,,,0.0004,,,SPO3133,,,,1,SPO_RS15875,0.0,
62,277,344030738.128654,373358278.706706,895246869.6028,1902671730.73803,-0.0906576616860981,-1.37285993009632,-2.44694846655692,-1.28220226841023,-2.35629080487082,-1.07408853646059,0.000266489536134511,0.000713956701980654,True,,,,,,,SPO_tRNA-Lys-2,,,,1,SPO_RS01420,0.0,
63,46,1961351.41978657,10780276.3809651,2996442.65605724,5360077.68901548,-2.45852082066225,-0.602700922458598,-1.37415325048163,1.85581989820365,1.08436757018061,-0.771452328023038,0.000269344336849651,0.000725472132657761,True,,,,,,,SPO0046a,K03154,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP",Sulfur carrier protein ThiS (thiamine biosynthesis) (ThiS) (PDB:1F0Z),1,SPO_RS00235,0.0,
64,1628,7855150.09407222,37023624.4206546,12474042.8834576,21702498.5081084,-2.23721222315655,-0.671173388479335,-1.41847442909378,1.56603883467721,0.818737794062769,-0.747301040614445,0.0002773377427401,0.000736987563334868,True,,,,,,,SPO1625,K04771,,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)!!!Predicted metalloprotease, contains C-terminal PDZ domain (PDB:4FGM)",1,SPO_RS08265,0.0,
65,1503,45099026.5265031,40576299.9434569,30684034.9043064,167765988.973877,0.146718640244156,0.542226260832961,-1.88114044222991,0.395507620588805,-2.02785908247407,-2.42336670306287,0.000287317016502037,0.000748502994011976,True,,,0.0243,,,,SPO1500,K06139,,"Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)",1,SPO_RS07640,1.0,RXN-11176
66,2266,14337556.750572,820389.739521855,3343035.46801396,10612180.717625,4.19795121074218,2.1072828141428,0.493644047288274,-2.09066839659938,-3.7043071634539,-1.61363876685452,0.000293582406008088,0.000760018424689083,True,,,,,,,SPO2263,,,,1,SPO_RS11480,0.0,
67,2717,118972994.53962,72427578.338858,407836040.578483,173342012.578676,0.725797493185012,-1.7732465609446,-0.502750913212406,-2.49904405412961,-1.22854840639741,1.27049564773219,0.000295698031770459,0.00077153385536619,True,,0.0014,,0.0003,,,SPO2721,,,,1,SPO_RS13805,0.0,
68,1490,8582236.53138295,3017461.65618688,2745602.62184692,7462919.57884774,1.51027796562537,1.65430717956421,0.226981578364274,0.144029213938832,-1.2832963872611,-1.42732560119993,0.000297334986197145,0.000783049286043298,True,,,,,,,SPO1487,,,,1,SPO_RS07575,0.0,
69,3623,110727272.280701,260034557.605011,110370267.391896,270678316.023687,-1.22960676669245,0.0607051825542619,-1.28524673448871,1.29031194924671,-0.0556399677962602,-1.34595191704297,0.000299479997377772,0.000794564716720405,True,,,,,,,SPO_tRNA-Ala-3,,,,1,SPO_RS18360,0.0,
70,544,91970181.9021237,762685010.166337,186991449.459635,460594650.572389,-3.0897634644479,-1.03481542637206,-2.30865182927861,2.05494803807584,0.781111635169292,-1.27383640290655,0.000300646255248341,0.000806080147397512,True,,,,,,,SPO_tRNA-Arg-3,,,,1,SPO_RS02735,0.0,
71,3669,63849573.2308298,548168561.677945,153265250.39548,255421238.77849,-3.0954734949102,-1.24860277375217,-1.97756877003266,1.84687072115803,1.11790472487753,-0.728965996280496,0.000302301310203644,0.00081759557807462,True,,,,,,,SPO_tRNA-Ser-5,,,,1,SPO_RS18595,0.0,
72,3624,4354450783.38443,3716986957.49054,5118235733.34014,27110171522.4779,0.237967847018101,-0.249097291857118,-2.62393050053824,-0.48706513887522,-2.86189834755634,-2.37483320868112,0.000302624306817396,0.000829111008751727,True,,,0.0087,,,,SPO3625,K03704,,"Cold shock protein, CspA family (CspC) (PDB:1C9O)",1,SPO_RS18365,0.0,
73,2269,42518643.23049,6073414.14012445,14861974.9376717,32608916.4435201,2.80856923096494,1.55891490792466,0.410685010155564,-1.24965432304028,-2.39788422080938,-1.14822989776909,0.000319550016981555,0.000840626439428834,True,,,,,,,SPO2267,,,,0,,,
74,2258,23701667.25426,824031.733627859,1932491.54021975,9824103.99417516,4.83664193654761,3.59345334537339,1.2738691439079,-1.24318859117421,-3.5627727926397,-2.31958420146549,0.000328442806164467,0.000852141870105942,True,,,,,,,SPO2255,,,Phage-related minor tail protein,1,SPO_RS11440,0.0,
